i,j,n_valid,denominator,fraction
0,0,16560114971872,61483797830349928156389298704,2.693411200389055e-16
0,1,3979266381168,14774076756620032717317690000,2.693411200389055e-16
0,2,172943131834,3403947284725255538069995776,5.080664222120447e-17
0,3,10941443181,749974224747880124797595904,1.4589092291631658e-17
0,4,16249924634,157546668740440095660606084,1.0314356224957004e-16
0,5,38288364,31452277462441866087065316,1.2173479232059597e-18
0,6,0,5945610106321713816080400,
0,7,0,1059933455991179598817296,
0,8,0,177385557717532122942564,
0,9,0,27725487387975545446404,
0,10,0,4023653498481711810816,
0,11,0,538561592598682425600,
0,12,0,65973795093338597136,
0,13,0,7330421677037621904,
0,14,0,731011579981591104,
0,15,0,64610957763164736,
0,16,0,4985413407651600,
0,17,0,329647743689616,
0,18,0,18250394114304,
0,19,0,821183940864,
0,20,0,28869747921,
0,21,0,751034025,
0,22,0,13351716,
0,23,0,142884,
0,24,0,729,
0,25,0,1,
1,0,4303974517872,15979641419960227387050813504,2.693411200389055e-16
1,1,1103258582486,3994910354990056846762703376,2.761660424014925e-16
1,2,35480399738,958379160547385565903922176,3.702125546897524e-17
1,3,1951243633,220044520802763439393739076,8.867494750539524e-18
1,4,2352339410,48212561370999323072236176,4.879100682572678e-17
1,5,21875026,10048081079683696349175876,2.177035224637577e-18
1,6,0,1984806139196779525763136,
1,7,0,370100731534110231818436,
1,8,0,64852697142807850248336,
1,9,0,10624960019428270250436,
1,10,0,1618078384874263643136,
1,11,0,227542272872943324816,
1,12,0,29321686708150487616,
1,13,0,3431693250469136016,
1,14,0,360967003701647616,
1,15,0,33701394635724816,
1,16,0,2751134255977536,
1,17,0,192769787832336,
1,18,0,11328986612736,
1,19,0,542109710961,
1,20,0,20307960036,
1,21,0,564110001,
1,22,0,10732176,
1,23,0,123201,
1,24,0,676,
1,25,0,1,
2,0,1103258582486,3994910354990056846762703376,2.761660424014925e-16
2,1,303989240435,1039907943302284685225610000,2.9232322187094486e-16
2,2,16536365979,259976985825571171306402500,6.360703785825894e-17
2,3,454337037,62257956315856563884602500,7.29765422085989e-18
2,4,1741277002,14240477720640159225022500,1.2227658623558986e-16
2,5,1011484,3101259592494968009004900,3.261527575935294e-19
2,6,0,640756114151852894422500,
2,7,0,125101653439058353102500,
2,8,0,22977854713296432202500,
2,9,0,3950386681821932722500,
2,10,0,632061869091509235600,
2,11,0,93500276492826810000,
2,12,0,12691173263569290000,
2,13,0,1566697064677290000,
2,14,0,174077451630810000,
2,15,0,17194589099859600,
2,16,0,1487421202410000,
2,17,0,110634634890000,
2,18,0,6914664680625,
2,19,0,352568750625,
2,20,0,14102750025,
2,21,0,419225625,
2,22,0,8555625,
2,23,0,105625,
2,24,0,625,
2,25,0,1,
3,0,41464735946,958379160547385565903922176,4.326548161049941e-17
3,1,6157362549,259976985825571171306402500,2.3684260089628155e-17
3,2,2467576216,67789381546187865401760000,3.6400630309773186e-17
3,3,53629509,16947345386546966350440000,3.1644784654841666e-18
3,4,47095883,4050624773870978624006400,1.16268196835041e-17
3,5,1784,922688804378668167968400,1.933735995581003e-21
3,6,0,199608178340436596640000,
3,7,0,40849519490304768360000,
3,8,0,7873435047506689440000,
3,9,0,1422139205455895780100,
3,10,0,239360707821636633600,
3,11,0,37296509182734240000,
3,12,0,5339748575468160000,
3,13,0,696309806523240000,
3,14,0,81851928277017600,
3,15,0,8567546125881600,
3,16,0,786735181440000,
3,17,0,62231982125625,
