i,j,n_valid,denominator,fraction
0,0,4311369767,312321918272897610000,1.380424976816721e-11
0,1,1020368009,73916947787011560000,1.380424976816721e-11
0,2,89840021,16483023079048102500,5.450457763997277e-12
0,3,9169240,3444615435294950400,2.6619053625442175e-12
0,4,3292650,670448506004640000,4.9111160258982005e-12
0,5,34489,120668417976960000,2.8582189420994834e-13
0,6,0,19915002576275625,
0,7,0,2984141905290000,
0,8,0,401201300600100,
0,9,0,47705267610000,
0,10,0,4928733005625,
0,11,0,432700840000,
0,12,0,31364410000,
0,13,0,1806590016,
0,14,0,78411025,
0,15,0,2371600,
0,16,0,44100,
0,17,0,400,
0,18,0,1,
1,0,1136891516,82358080713306090000,1.380424976816721e-11
1,1,285778939,20589520178326522500,1.3879825103931613e-11
1,2,22396785,4857445984927644900,4.61081505792544e-12
1,3,2440971,1075697380745222400,2.2691986576132917e-12
1,4,960721,222251524947360000,4.322678822210409e-12
1,5,24114,42540330946955625,5.66867840244394e-13
1,6,0,7481077970900625,
1,7,0,1196972475344100,
1,8,0,172216016072100,
1,9,0,21966328580625,
1,10,0,2440703175625,
1,11,0,231072490000,
1,12,0,18116083216,
1,13,0,1132255201,
1,14,0,53509225,
1,15,0,1768900,
1,16,0,36100,
1,17,0,361,
1,18,0,1,
2,0,285778939,20589520178326522500,1.3879825103931613e-11
2,1,77812773,5445717990022688400,1.4288799696538341e-11
2,2,7720927,1361429497505672100,5.67119181226039e-12
2,3,578902,320042195924198400,1.8088333276762946e-12
2,4,445645,70321771565375625,6.33722671930486e-12
2,5,3556,14342421672022500,2.4796247178995786e-13
2,6,0,2693188069524225,
2,7,0,461140406672400,
2,8,0,71170904601225,
2,9,0,9762812702500,
2,10,0,1169804480625,
2,11,0,119787978816,
2,12,0,10190296809,
2,13,0,693479556,
2,14,0,35820225,
2,15,0,1299600,
2,16,0,29241,
2,17,0,324,
2,18,0,1,
3,0,23236881,4857445984927644900,4.783765377409633e-12
3,1,5058779,1361429497505672100,3.715784777670719e-12
3,2,1431918,361297635242552100,3.963266940024062e-12
3,3,86456,90324408810638025,9.571806818770962e-13
3,4,28685,21147754404155625,1.3564183653354888e-12
3,5,93,4605510959127225,2.0293943306313182e-14
3,6,0,925483177280025,
3,7,0,169986706031025,
3,8,0,28214528710225,
3,9,0,4173746850625,
3,10,0,540917591841,
3,11,0,60101954649,
3,12,0,5567099769,
3,13,0,414081801,
3,14,0,23474025,
3,15,0,938961,
3,16,0,23409,
3,17,0,289,
3,18,0,1,
4,0,4534467,1075697380745222400,4.215374454599321e-12
4,1,1023717,320042195924198400,3.198695027658345e-12
4,2,219423,90324408810638025,2.429286144166483e-12
4,3,20314,24061445010950400,8.442696835494104e-13
4,4,1375,6015361252737600,2.286597691427778e-13
4,5,0,1401915345465600,
4,6,0,302198588499600,
4,7,0,59693548345600,
4,8,0,10684791937600,
4,9,0,1709566710016,
4,10,0,240407818596,
4,11,0,29085255936,
4,12,0,2944581696,
4,13,0,240374016,
4,14,0,15023376,
4,15,0,665856,
4,16,0,18496,
4,17,0,256,
4,18,0,1,
5,0,420956,222251524947360000,1.8940532053110717e-12
5,1,130746,70321771565375625,1.859258014484583e-12
5,2,17338,21147754404155625,8.198774599056233e-13
5,3,4475,6015361252737600,7.439353212679696e-13
5,4,0,1609341595560000,
5,5,0,402335398890000,
5,6,0,93271169290000,
5,7,0,19868414760000,
5,8,0,3846525097536,
5,9,0,667799496100,
5,10,0,102252852900,
5,11,0,13521038400,
5,12,0,1502337600,
5,13,0,135210384,
5,14,0,9363600,
5,15,0,462400,
5,16,0,14400,
5,17,0,225,
5,18,0,1,
6,0,455,42540330946955625,1.0715792772684089e-14
6,1,490,14342421672022500,3.416741057949016e-14
6,2,46,4605510959127225,1.0146971653156861e-14
6,3,0,1401915345465600,
6,4,0,402335398890000,
6,5,0,108172480360000,
6,6,0,27043120090000,
6,7,0,6230734868736,
6,8,0,1308887012356,
6,9,0,247426656400,
6,10,0,41408180100,
6,11,0,6009350400,
6,12,0,736145424,
6,13,0,73410624,
6,14,0,5664400,
6,15,0,313600,
6,16,0,11025,
6,17,0,196,
6,18,0,1,
7,0,0,7481077970900625,
7,1,0,2693188069524225,
7,2,0,925483177280025,
7,3,0,302198588499600,
7,4,0,93271169290000,
7,5,0,27043120090000,
7,6,0,7312459672336,
7,7,0,1828114918084,
7,8,0,418151049316,
7,9,0,86394844900,
7,10,0,15868440900,
7,11,0,2538950544,
7,12,0,344622096,
7,13,0,38291344,
7,14,0,3312400,
7,15,0,207025,
7,16,0,8281,
7,17,0,169,
7,18,0,1,
8,0,0,1196972475344100,
8,1,0,461140406672400,
8,2,0,169986706031025,
8,3,0,59693548345600,
8,4,0,19868414760000,
8,5,0,6230734868736,
8,6,0,1828114918084,
8,7,0,497634306624,
8,8,0,124408576656,
8,9,0,28210561600,
8,10,0,5712638724,
8,11,0,1012766976,
8,12,0,153165376,
8,13,0,19079424,
8,14,0,1863225,
8,15,0,132496,
8,16,0,6084,
8,17,0,144,
8,18,0,1,
9,0,0,172216016072100,
9,1,0,71170904601225,
9,2,0,28214528710225,
9,3,0,10684791937600,
9,4,0,3846525097536,
9,5,0,1308887012356,
9,6,0,418151049316,
9,7,0,124408576656,
9,8,0,34134779536,
9,9,0,8533694884,
9,10,0,1914762564,
9,11,0,378224704,
9,12,0,64128064,
9,13,0,9018009,
9,14,0,1002001,
9,15,0,81796,
9,16,0,4356,
9,17,0,121,
9,18,0,1,
10,0,0,21966328580625,
10,1,0,9762812702500,
10,2,0,4173746850625,
10,3,0,1709566710016,
10,4,0,667799496100,
10,5,0,247426656400,
10,6,0,86394844900,
10,7,0,28210561600,
10,8,0,8533694884,
10,9,0,2363904400,
10,10,0,590976100,
10,11,0,130873600,
10,12,0,25050025,
10,13,0,4008004,
10,14,0,511225,
10,15,0,48400,
10,16,0,3025,
10,17,0,100,
10,18,0,1,
11,0,0,2440703175625,
11,1,0,1169804480625,
11,2,0,540917591841,
11,3,0,240407818596,
11,4,0,102252852900,
11,5,0,41408180100,
11,6,0,15868440900,
11,7,0,5712638724,
11,8,0,1914762564,
11,9,0,590976100,
11,10,0,165636900,
11,11,0,41409225,
11,12,0,9018009,
11,13,0,1656369,
11,14,0,245025,
11,15,0,27225,
11,16,0,2025,
11,17,0,81,
11,18,0,1,
12,0,0,231072490000,
12,1,0,119787978816,
12,2,0,60101954649,
12,3,0,29085255936,
12,4,0,13521038400,
