i,j,n_valid,denominator,fraction
0,0,583422748058550,226010128688605726183632661070400,2.5814008931537053e-18
0,1,140782836096615,54537377929168017644803941606400,2.5814008931537053e-18
0,2,4498133075175,12677853479069988795619283619600,3.5480241845370816e-19
0,3,229884981716,2833133537802086752343350653504,8.114159768666383e-20
0,4,619522070917,607238841264164684572906090000,1.0202280039069205e-18
0,5,756701638,124517469764385496017797760000,6.0770720796639e-21
0,6,0,24360111503461511609990760000,
0,7,0,4532984993339243221543840000,
0,8,0,799618552825042504280333376,
0,9,0,133214252865479800796390400,
0,10,0,20872545696370750037976100,
0,11,0,3061432687018616121459600,
0,12,0,418125730882977343620900,
0,13,0,52859351657304790107136,
0,14,0,6143261427114451329600,
0,15,0,651205646140850438400,
0,16,0,62388749545240206400,
0,17,0,5344425897986073600,
0,18,0,404172208535196816,
0,19,0,26572794775489600,
0,20,0,1490579208320400,
0,21,0,69683761382400,
0,22,0,2634648385600,
0,23,0,77426401536,
0,24,0,1674446400,
0,25,0,24601600,
0,26,0,216225,
0,27,0,900,
0,28,0,1,
1,0,151018322904660,58502467906161100560306268993600,2.5814008931537053e-18
1,1,39037194016923,14625616976540275140076567248400,2.669097247626505e-18
1,2,854783449279,3524652818478631595740766123664,2.425156443204321e-19
1,3,34860330435,817100584805059999561302434704,4.266345060065282e-20
1,4,67239370936,181804152902514239845430410000,3.698450770387233e-19
1,5,402630444,38727511860890607304352040000,1.0396496571675303e-20
1,6,0,7876529709500627168013160000,
1,7,0,1524896151759321419727347776,
1,8,0,280082966649671281174410816,
1,9,0,48625515043345708537224100,
1,10,0,7946496573403259747368900,
1,11,0,1216760344887833723132100,
1,12,0,173651229467942689375396,
1,13,0,22962146045347793636416,
1,14,0,2794203818390077646400,
1,15,0,310467090932230849600,
1,16,0,31212931806988110400,
1,17,0,2809163862628929936,
1,18,0,223477204061867536,
1,19,0,15476260669104400,
1,20,0,915688176915600,
1,21,0,45219169230400,
1,22,0,1808766769216,
1,23,0,56328376896,
1,24,0,1293121600,
1,25,0,20205025,
1,26,0,189225,
1,27,0,841,
1,28,0,1,
2,0,39037194016923,14625616976540275140076567248400,2.669097247626505e-18
2,1,10837772020026,3790573127143000234651249164544,2.8591380924485092e-18
2,2,455668480407,947643281785750058662812291136,4.808438883767404e-19
2,3,8117393181,228055129400913862462107906304,3.5593995202016945e-20
2,4,61479808541,52712446699545548830923610000,1.1663243197894211e-18
2,5,11486899,11673344597823235727263360000,9.840281565330934e-22
2,6,0,2470079716899396679888926976,
2,7,0,497925274043860055421174784,
2,8,0,95306009484957588732959236,
2,9,0,17257765411490735850241600,
2,10,0,2944259599975498885603600,
2,11,0,471081535996079821696576,
2,12,0,70321572263877618011524,
2,13,0,9736247971634759443456,
2,14,0,1241868363728923398400,
2,15,0,144798452879755494400,
2,16,0,15294336585424174096,
2,17,0,1447984528797554944,
2,18,0,121333883645778496,
2,19,0,8862957169158400,
2,20,0,553934823072400,
2,21,0,28940268307456,
2,22,0,1226706874624,
2,23,0,40552293376,
2,24,0,990046225,
2,25,0,16483600,
2,26,0,164836,
2,27,0,784,
2,28,0,1,
3,0,1051242449197,3524652818478631595740766123664,2.9825418369879954e-19
3,1,133175080654,947643281785750058662812291136,1.4053292332112906e-19
3,2,62121096820,245935191321399712625557194816,2.525913289861255e-19
3,3,871354592,61483797830349928156389298704,1.4172101000045134e-20
3,4,1157227357,14774076756620032717317690000,7.832823510939444e-20
3,5,6447,3403947284725255538069995776,1.894132497152467e-24
3,6,0,749974224747880124797595904,
3,7,0,157546668740440095660606084,
3,8,0,31452277462441866087065316,
3,9,0,5945610106321713816080400,
3,10,0,1059933455991179598817296,
3,11,0,177385557717532122942564,
3,12,0,27725487387975545446404,
3,13,0,4023653498481711810816,
3,14,0,538561592598682425600,
3,15,0,65973795093338597136,
3,16,0,7330421677037621904,
3,17,0,731011579981591104,
3,18,0,64610957763164736,
3,19,0,4985413407651600,
3,20,0,329647743689616,
3,21,0,18250394114304,
3,22,0,821183940864,
3,23,0,28869747921,
3,24,0,751034025,
3,25,0,13351716,
3,26,0,142884,
3,27,0,729,
3,28,0,1,
4,0,300826923869,817100584805059999561302434704,3.681638827142447e-19
4,1,26019853622,228055129400913862462107906304,1.1409457744090781e-19
4,2,5176034733,61483797830349928156389298704,8.418534502498735e-20
4,3,329161216,15979641419960227387050813504,2.0598786182990982e-20
4,4,7270764,3994910354990056846762703376,1.8200069004739516e-21
4,5,0,958379160547385565903922176,
4,6,0,220044520802763439393739076,
4,7,0,48212561370999323072236176,
4,8,0,10048081079683696349175876,
4,9,0,1984806139196779525763136,
4,10,0,370100731534110231818436,
4,11,0,64852697142807850248336,
4,12,0,10624960019428270250436,
4,13,0,1618078384874263643136,
4,14,0,227542272872943324816,
4,15,0,29321686708150487616,
4,16,0,3431693250469136016,
4,17,0,360967003701647616,
4,18,0,33701394635724816,
4,19,0,2751134255977536,
4,20,0,192769787832336,
4,21,0,11328986612736,
4,22,0,542109710961,
4,23,0,20307960036,
4,24,0,564110001,
4,25,0,10732176,
4,26,0,123201,
4,27,0,676,
4,28,0,1,
5,0,36419197223,181804152902514239845430410000,2.0032104130566802e-19
5,1,3277377355,52712446699545548830923610000,6.217463921945819e-20
5,2,114083741,14774076756620032717317690000,7.721886355441177e-21
5,3,85850345,3994910354990056846762703376,2.148993029277752e-20
5,4,0,1039907943302284685225610000,
5,5,0,259976985825571171306402500,
5,6,0,62257956315856563884602500,
5,7,0,14240477720640159225022500,
5,8,0,3101259592494968009004900,
5,9,0,640756114151852894422500,
5,10,0,125101653439058353102500,
5,11,0,22977854713296432202500,
5,12,0,3950386681821932722500,
5,13,0,632061869091509235600,
5,14,0,93500276492826810000,
5,15,0,12691173263569290000,
5,16,0,1566697064677290000,
5,17,0,174077451630810000,
5,18,0,17194589099859600,
5,19,0,1487421202410000,
5,20,0,110634634890000,
5,21,0,6914664680625,
5,22,0,352568750625,
5,23,0,14102750025,
5,24,0,419225625,
5,25,0,8555625,
5,26,0,105625,
5,27,0,625,
5,28,0,1,
6,0,319172,38727511860890607304352040000,8.241480607848466e-24
6,1,457994,11673344597823235727263360000,3.9234195480690417e-23
6,2,3223,3403947284725255538069995776,9.470662485763125e-25
6,3,0,958379160547385565903922176,
6,4,0,259976985825571171306402500,
6,5,0,67789381546187865401760000,
6,6,0,16947345386546966350440000,
6,7,0,4050624773870978624006400,
6,8,0,922688804378668167968400,
6,9,0,199608178340436596640000,
6,10,0,40849519490304768360000,
6,11,0,7873435047506689440000,
6,12,0,1422139205455895780100,
6,13,0,239360707821636633600,
6,14,0,37296509182734240000,
6,15,0,5339748575468160000,
6,16,0,696309806523240000,
6,17,0,81851928277017600,
6,18,0,8567546125881600,
6,19,0,786735181440000,
6,20,0,62231982125625,
6,21,0,4144481640000,
6,22,0,225644000400,
6,23,0,9658958400,
6,24,0,308002500,
6,25,0,6760000,
6,26,0,90000,
6,27,0,576,
6,28,0,1,
7,0,0,7876529709500627168013160000,
7,1,0,2470079716899396679888926976,
7,2,0,749974224747880124797595904,
7,3,0,220044520802763439393739076,
7,4,0,62257956315856563884602500,
7,5,0,16947345386546966350440000,
7,6,0,4427232449127577876238400,
7,7,0,1106808112281894469059600,
7,8,0,263981815855227399056400,
7,9,0,59859822189393968040000,
7,10,0,12855083765836539240000,
7,11,0,2603154462581899196100,
7,12,0,494616462647053824900,
7,13,0,87688237145184057600,
7,14,0,14411872430727840000,
7,15,0,2179573299708840000,
7,16,0,300692153184321600,
7,17,0,37456461988358400,
7,18,0,4161829109817600,
7,19,0,406428624005625,
7,20,0,34256731055625,
7,21,0,2436034208400,
7,22,0,141933027600,
7,23,0,6517332900,
7,24,0,223502500,
7,25,0,5290000,
7,26,0,76176,
7,27,0,529,
7,28,0,1,
8,0,0,1524896151759321419727347776,
8,1,0,497925274043860055421174784,
8,2,0,157546668740440095660606084,
8,3,0,48212561370999323072236176,
8,4,0,14240477720640159225022500,
8,5,0,4050624773870978624006400,
8,6,0,1106808112281894469059600,
8,7,0,289721539396666805313600,
8,8,0,72430384849166701328400,
8,9,0,17235070755304390560000,
8,10,0,3888662839165553120100,
8,11,0,828354214260117824400,
8,12,0,165785573352613608900,
8,13,0,31001538917654553600,
8,14,0,5382211617648360000,
8,15,0,861153858823737600,
8,16,0,125895330571982400,
8,17,0,16647316439270400,
8,18,0,1967114540187225,
8,19,0,204694541122500,
8,20,0,18422508701025,
8,21,0,1401950721600,
8,22,0,87621920100,
8,23,0,4327008400,
8,24,0,160022500,
8,25,0,4096576,
8,26,0,64009,
8,27,0,484,
8,28,0,1,
9,0,0,280082966649671281174410816,
9,1,0,95306009484957588732959236,
9,2,0,31452277462441866087065316,
9,3,0,10048081079683696349175876,
9,4,0,3101259592494968009004900,
9,5,0,922688804378668167968400,
9,6,0,263981815855227399056400,
9,7,0,72430384849166701328400,
9,8,0,19001665507723090592400,
9,9,0,4750416376930772648100,
9,10,0,1127482124965160372100,
9,11,0,252980753801047064100,
9,12,0,53404994776115852100,
9,13,0,10549134770590785600,
9,14,0,1937596182353409600,
9,15,0,328519767942273600,
9,16,0,50982406595265600,
9,17,0,7169400927459225,
9,18,0,902702926350225,
9,19,0,100300325150025,
9,20,0,9660316691025,
9,21,0,788597280900,
9,22,0,53005852900,
9,23,0,2822796900,
9,24,0,112911876,
9,25,0,3136441,
9,26,0,53361,
9,27,0,441,
9,28,0,1,
10,0,0,48625515043345708537224100,
10,1,0,17257765411490735850241600,
10,2,0,5945610106321713816080400,
10,3,0,1984806139196779525763136,
10,4,0,640756114151852894422500,
10,5,0,199608178340436596640000,
10,6,0,59859822189393968040000,
10,7,0,17235070755304390560000,
10,8,0,4750416376930772648100,
10,9,0,1249287673091590440000,
10,10,0,312321918272897610000,
10,11,0,73916947787011560000,
10,12,0,16483023079048102500,
10,13,0,3444615435294950400,
10,14,0,670448506004640000,
10,15,0,120668417976960000,
10,16,0,19915002576275625,
10,17,0,2984141905290000,
10,18,0,401201300600100,
10,19,0,47705267610000,
10,20,0,4928733005625,
10,21,0,432700840000,
10,22,0,31364410000,
10,23,0,1806590016,
10,24,0,78411025,
10,25,0,2371600,
10,26,0,44100,
10,27,0,400,
10,28,0,1,
11,0,0,7946496573403259747368900,
11,1,0,2944259599975498885603600,
11,2,0,1059933455991179598817296,
11,3,0,370100731534110231818436,
11,4,0,125101653439058353102500,
11,5,0,40849519490304768360000,
11,6,0,12855083765836539240000,
11,7,0,3888662839165553120100,
11,8,0,1127482124965160372100,
11,9,0,312321918272897610000,
11,10,0,82358080713306090000,
