i,j,n_valid,denominator,fraction
0,0,40788474,6015361252737600,6.7807190397915815e-09
0,1,9505994,1401915345465600,6.7807190397915815e-09
0,2,1233968,302198588499600,4.08330237652973e-09
0,3,161249,59693548345600,2.701296362056017e-09
0,4,24713,10684791937600,2.3129879822025028e-09
0,5,572,1709566710016,3.3500858407003994e-10
0,6,0,240407818596,
0,7,0,29085255936,
0,8,0,2944581696,
0,9,0,240374016,
0,10,0,15023376,
0,11,0,665856,
0,12,0,18496,
0,13,0,256,
0,14,0,1,
1,0,10912493,1609341595560000,6.7807190397915815e-09
1,1,2712564,402335398890000,6.742047877013514e-09
1,2,350865,93271169290000,3.761775556301946e-09
1,3,55508,19868414760000,2.793824579967073e-09
1,4,11166,3846525097536,2.902994538843411e-09
1,5,470,667799496100,7.048873892456681e-10
1,6,0,102252852900,
1,7,0,13521038400,
1,8,0,1502337600,
1,9,0,135210384,
1,10,0,9363600,
1,11,0,462400,
1,12,0,14400,
1,13,0,225,
1,14,0,1,
2,0,2712564,402335398890000,6.742047877013514e-09
2,1,738952,108172480360000,6.83124709894225e-09
2,2,103371,27043120090000,3.822455434133835e-09
2,3,13625,6230734868736,2.1867909945516313e-09
2,4,4100,1308887012356,3.132789466598879e-09
2,5,140,247426656400,5.687708490113791e-10
2,6,0,41408180100,
2,7,0,6009350400,
2,8,0,736145424,
2,9,0,73410624,
2,10,0,5664400,
2,11,0,313600,
2,12,0,11025,
2,13,0,196,
2,14,0,1,
3,0,340087,93271169290000,3.6462227969463332e-09
3,1,93544,27043120090000,3.4590715037423973e-09
3,2,21896,7312459672336,2.9943825226074964e-09
3,3,2370,1828114918084,1.2966351765473455e-09
3,4,445,418151049316,1.0660652556004559e-09
3,5,18,86394844900,2.0861660708352075e-10
3,6,0,15868440900,
3,7,0,2538950544,
3,8,0,344622096,
3,9,0,38291344,
3,10,0,3312400,
3,11,0,207025,
3,12,0,8281,
3,13,0,169,
3,14,0,1,
4,0,55784,19868414760000,2.807722294532633e-09
4,1,18993,6230734868736,3.0482877978471547e-09
4,2,4281,1828114918084,2.3419388111799832e-09
4,3,466,497634306624,9.36563052283093e-10
4,4,49,124408576656,3.9704200117000905e-10
4,5,0,28210561600,
4,6,0,5712638724,
4,7,0,1012766976,
4,8,0,153165376,
4,9,0,19079424,
4,10,0,1863225,
4,11,0,132496,
4,12,0,6084,
4,13,0,144,
4,14,0,1,
5,0,4494,3846525097536,1.1685799124516168e-09
5,1,2379,1308887012356,1.8181521237091934e-09
5,2,556,418151049316,1.3309421020157329e-09
5,3,95,124408576656,7.713566854369195e-10
5,4,0,34134779536,
5,5,0,8533694884,
5,6,0,1914762564,
5,7,0,378224704,
5,8,0,64128064,
5,9,0,9018009,
5,10,0,1002001,
5,11,0,81796,
