i,j,n_valid,denominator,fraction
0,0,177740086402025,14625616976540275140076567248400,1.2152655623836138e-17
0,1,42833891896554,3524652818478631595740766123664,1.2152655623836138e-17
0,2,1516724609758,817100584805059999561302434704,1.8562275415825923e-18
0,3,83261122165,181804152902514239845430410000,4.579715085500048e-19
0,4,184062421491,38727511860890607304352040000,4.752756184087253e-18
0,5,280071819,7876529709500627168013160000,3.5557768495502317e-20
0,6,0,1524896151759321419727347776,
0,7,0,280082966649671281174410816,
0,8,0,48625515043345708537224100,
0,9,0,7946496573403259747368900,
0,10,0,1216760344887833723132100,
0,11,0,173651229467942689375396,
0,12,0,22962146045347793636416,
0,13,0,2794203818390077646400,
0,14,0,310467090932230849600,
0,15,0,31212931806988110400,
0,16,0,2809163862628929936,
0,17,0,223477204061867536,
0,18,0,15476260669104400,
0,19,0,915688176915600,
0,20,0,45219169230400,
0,21,0,1808766769216,
0,22,0,56328376896,
0,23,0,1293121600,
0,24,0,20205025,
0,25,0,189225,
0,26,0,841,
0,27,0,1,
1,0,46065529831136,3790573127143000234651249164544,1.2152655623836138e-17
1,1,11874388262125,947643281785750058662812291136,1.2530441032356511e-17
1,2,295585685679,228055129400913862462107906304,1.2961150510241955e-18
1,3,13321428770,52712446699545548830923610000,2.527188473386252e-19
1,4,21978014772,11673344597823235727263360000,1.88275216143125e-18
1,5,152495653,2470079716899396679888926976,6.173713835170232e-20
1,6,0,497925274043860055421174784,
1,7,0,95306009484957588732959236,
1,8,0,17257765411490735850241600,
1,9,0,2944259599975498885603600,
1,10,0,471081535996079821696576,
1,11,0,70321572263877618011524,
1,12,0,9736247971634759443456,
1,13,0,1241868363728923398400,
1,14,0,144798452879755494400,
1,15,0,15294336585424174096,
1,16,0,1447984528797554944,
1,17,0,121333883645778496,
1,18,0,8862957169158400,
1,19,0,553934823072400,
1,20,0,28940268307456,
1,21,0,1226706874624,
1,22,0,40552293376,
1,23,0,990046225,
1,24,0,16483600,
1,25,0,164836,
1,26,0,784,
1,27,0,1,
2,0,11874388262125,947643281785750058662812291136,1.2530441032356511e-17
2,1,3288000466860,245935191321399712625557194816,1.336937771774158e-17
2,2,150637052707,61483797830349928156389298704,2.450028430627865e-18
2,3,3100839373,14774076756620032717317690000,2.098838001561455e-19
2,4,18720185528,3403947284725255538069995776,5.499552126625461e-18
2,5,5107303,749974224747880124797595904,6.80997266188851e-21
2,6,0,157546668740440095660606084,
2,7,0,31452277462441866087065316,
2,8,0,5945610106321713816080400,
2,9,0,1059933455991179598817296,
2,10,0,177385557717532122942564,
2,11,0,27725487387975545446404,
2,12,0,4023653498481711810816,
2,13,0,538561592598682425600,
2,14,0,65973795093338597136,
2,15,0,7330421677037621904,
