i,j,n_valid,denominator,fraction
0,0,476268159426,16947345386546966350440000,2.8102817790220806e-14
0,1,113833969956,4050624773870978624006400,2.8102817790220806e-14
0,2,6712892103,922688804378668167968400,7.27535878995223e-15
0,3,523589971,199608178340436596640000,2.623088772735962e-15
0,4,425965048,40849519490304768360000,1.0427663613222535e-14
0,5,1919991,7873435047506689440000,2.438569012687824e-16
0,6,0,1422139205455895780100,
0,7,0,239360707821636633600,
0,8,0,37296509182734240000,
0,9,0,5339748575468160000,
0,10,0,696309806523240000,
0,11,0,81851928277017600,
0,12,0,8567546125881600,
0,13,0,786735181440000,
0,14,0,62231982125625,
0,15,0,4144481640000,
0,16,0,225644000400,
0,17,0,9658958400,
0,18,0,308002500,
0,19,0,6760000,
0,20,0,90000,
0,21,0,576,
0,22,0,1,
1,0,124417706832,4427232449127577876238400,2.8102817790220806e-14
1,1,31626307470,1106808112281894469059600,2.857433652652539e-14
1,2,1491889087,263981815855227399056400,5.651484300485877e-15
1,3,110326876,59859822189393968040000,1.8430872806533435e-15
1,4,82743641,12855083765836539240000,6.436647382544139e-15
1,5,1186707,2603154462581899196100,4.558730276721537e-16
1,6,0,494616462647053824900,
1,7,0,87688237145184057600,
1,8,0,14411872430727840000,
1,9,0,2179573299708840000,
1,10,0,300692153184321600,
1,11,0,37456461988358400,
1,12,0,4161829109817600,
1,13,0,406428624005625,
1,14,0,34256731055625,
1,15,0,2436034208400,
1,16,0,141933027600,
1,17,0,6517332900,
1,18,0,223502500,
1,19,0,5290000,
1,20,0,76176,
1,21,0,529,
1,22,0,1,
2,0,31626307470,1106808112281894469059600,2.857433652652539e-14
2,1,8659090640,289721539396666805313600,2.98876316155226e-14
2,2,609434498,72430384849166701328400,8.414072348429362e-15
2,3,25787123,17235070755304390560000,1.4962006042023851e-15
2,4,49850276,3888662839165553120100,1.2819387616069848e-14
2,5,89546,828354214260117824400,1.0810221290886867e-16
2,6,0,165785573352613608900,
2,7,0,31001538917654553600,
2,8,0,5382211617648360000,
2,9,0,861153858823737600,
2,10,0,125895330571982400,
2,11,0,16647316439270400,
2,12,0,1967114540187225,
2,13,0,204694541122500,
2,14,0,18422508701025,
2,15,0,1401950721600,
2,16,0,87621920100,
2,17,0,4327008400,
2,18,0,160022500,
2,19,0,4096576,
2,20,0,64009,
2,21,0,484,
2,22,0,1,
3,0,1656801779,263981815855227399056400,6.276196617844786e-15
3,1,289109495,72430384849166701328400,3.991549899743751e-15
3,2,99676100,19001665507723090592400,5.245650720740139e-15
3,3,3356616,4750416376930772648100,7.065941710746539e-16
3,4,1945867,1127482124965160372100,1.725851932753505e-15
3,5,499,252980753801047064100,1.9741675443651024e-18
3,6,0,53404994776115852100,
3,7,0,10549134770590785600,
3,8,0,1937596182353409600,
3,9,0,328519767942273600,
3,10,0,50982406595265600,
3,11,0,7169400927459225,
3,12,0,902702926350225,
3,13,0,100300325150025,
3,14,0,9660316691025,
3,15,0,788597280900,
3,16,0,53005852900,
3,17,0,2822796900,
3,18,0,112911876,
3,19,0,3136441,
3,20,0,53361,
3,21,0,441,
3,22,0,1,
4,0,378838048,59859822189393968040000,6.328753319760342e-15
4,1,57849921,17235070755304390560000,3.3565235825804316e-15
4,2,11970532,4750416376930772648100,2.5198912721660186e-15
4,3,950797,1249287673091590440000,7.61071341457497e-16
4,4,41128,312321918272897610000,1.3168705041369317e-16
4,5,0,73916947787011560000,
4,6,0,16483023079048102500,
4,7,0,3444615435294950400,
4,8,0,670448506004640000,
4,9,0,120668417976960000,
4,10,0,19915002576275625,
4,11,0,2984141905290000,
4,12,0,401201300600100,
4,13,0,47705267610000,
4,14,0,4928733005625,
4,15,0,432700840000,
4,16,0,31364410000,
4,17,0,1806590016,
4,18,0,78411025,
4,19,0,2371600,
4,20,0,44100,
4,21,0,400,
4,22,0,1,
5,0,39463976,12855083765836539240000,3.0699120413792533e-15
5,1,7393488,3888662839165553120100,1.901293252279072e-15
5,2,569440,1127482124965160372100,5.050550645615939e-16
5,3,224087,312321918272897610000,7.174887735841563e-16
5,4,0,82358080713306090000,
5,5,0,20589520178326522500,
5,6,0,4857445984927644900,
5,7,0,1075697380745222400,
5,8,0,222251524947360000,
5,9,0,42540330946955625,
5,10,0,7481077970900625,
5,11,0,1196972475344100,
5,12,0,172216016072100,
5,13,0,21966328580625,
5,14,0,2440703175625,
5,15,0,231072490000,
5,16,0,18116083216,
5,17,0,1132255201,
5,18,0,53509225,
5,19,0,1768900,
5,20,0,36100,
5,21,0,361,
5,22,0,1,
6,0,6308,2603154462581899196100,2.4233529978655392e-18
6,1,7513,828354214260117824400,9.070539951409234e-18
6,2,249,252980753801047064100,9.870837721825986e-19
6,3,0,73916947787011560000,
6,4,0,20589520178326522500,
6,5,0,5445717990022688400,
6,6,0,1361429497505672100,
6,7,0,320042195924198400,
6,8,0,70321771565375625,
6,9,0,14342421672022500,
6,10,0,2693188069524225,
6,11,0,461140406672400,
6,12,0,71170904601225,
6,13,0,9762812702500,
6,14,0,1169804480625,
6,15,0,119787978816,
6,16,0,10190296809,
6,17,0,693479556,
6,18,0,35820225,
6,19,0,1299600,
6,20,0,29241,
6,21,0,324,
6,22,0,1,
7,0,0,494616462647053824900,
7,1,0,165785573352613608900,
7,2,0,53404994776115852100,
7,3,0,16483023079048102500,
7,4,0,4857445984927644900,
7,5,0,1361429497505672100,
7,6,0,361297635242552100,
7,7,0,90324408810638025,
7,8,0,21147754404155625,
7,9,0,4605510959127225,
7,10,0,925483177280025,
7,11,0,169986706031025,
7,12,0,28214528710225,
