i,j,n_valid,denominator,fraction
0,0,1551918951231,259976985825571171306402500,5.969447435136975e-15
0,1,371645597646,62257956315856563884602500,5.969447435136975e-15
0,2,19803152583,14240477720640159225022500,1.3906241750904657e-15
0,3,1441306029,3101259592494968009004900,4.647485922598754e-16
0,4,1434271855,640756114151852894422500,2.238405258226801e-15
0,5,5213843,125101653439058353102500,4.167685512439632e-17
0,6,0,22977854713296432202500,
0,7,0,3950386681821932722500,
0,8,0,632061869091509235600,
0,9,0,93500276492826810000,
0,10,0,12691173263569290000,
0,11,0,1566697064677290000,
0,12,0,174077451630810000,
0,13,0,17194589099859600,
0,14,0,1487421202410000,
0,15,0,110634634890000,
0,16,0,6914664680625,
0,17,0,352568750625,
0,18,0,14102750025,
0,19,0,419225625,
0,20,0,8555625,
0,21,0,105625,
0,22,0,625,
0,23,0,1,
1,0,404665149800,67789381546187865401760000,5.969447435136975e-15
1,1,103151577975,16947345386546966350440000,6.086592066373525e-15
1,2,4283322215,4050624773870978624006400,1.057447296377051e-15
1,3,287090947,922688804378668167968400,3.1114601850602614e-16
1,4,252385695,199608178340436596640000,1.2644055844601732e-15
1,5,3135966,40849519490304768360000,7.676874075881266e-17
1,6,0,7873435047506689440000,
1,7,0,1422139205455895780100,
1,8,0,239360707821636633600,
1,9,0,37296509182734240000,
1,10,0,5339748575468160000,
1,11,0,696309806523240000,
1,12,0,81851928277017600,
1,13,0,8567546125881600,
1,14,0,786735181440000,
1,15,0,62231982125625,
1,16,0,4144481640000,
1,17,0,225644000400,
1,18,0,9658958400,
1,19,0,308002500,
1,20,0,6760000,
1,21,0,90000,
1,22,0,576,
1,23,0,1,
2,0,103151577975,16947345386546966350440000,6.086592066373525e-15
2,1,28297480212,4427232449127577876238400,6.3916861240004054e-15
2,2,1827727944,1106808112281894469059600,1.6513503331327422e-15
2,3,66982546,263981815855227399056400,2.537392456569507e-16
2,4,162740149,59859822189393968040000,2.7186874853032737e-15
2,5,200803,12855083765836539240000,1.562056509876854e-17
2,6,0,2603154462581899196100,
2,7,0,494616462647053824900,
2,8,0,87688237145184057600,
2,9,0,14411872430727840000,
2,10,0,2179573299708840000,
2,11,0,300692153184321600,
2,12,0,37456461988358400,
2,13,0,4161829109817600,
2,14,0,406428624005625,
2,15,0,34256731055625,
