i,j,n_valid,denominator,fraction
0,0,54216542038480,947643281785750058662812291136,5.721197319767191e-17
0,1,13047483950876,228055129400913862462107906304,5.721197319767191e-17
0,2,511904594839,52712446699545548830923610000,9.711266065057294e-18
0,3,30173707230,11673344597823235727263360000,2.584838216440991e-18
0,4,54689606744,2470079716899396679888926976,2.2140826618047317e-17
0,5,103594996,497925274043860055421174784,2.0805329997824606e-19
0,6,0,95306009484957588732959236,
0,7,0,17257765411490735850241600,
0,8,0,2944259599975498885603600,
0,9,0,471081535996079821696576,
0,10,0,70321572263877618011524,
0,11,0,9736247971634759443456,
0,12,0,1241868363728923398400,
0,13,0,144798452879755494400,
0,14,0,15294336585424174096,
0,15,0,1447984528797554944,
0,16,0,121333883645778496,
0,17,0,8862957169158400,
0,18,0,553934823072400,
0,19,0,28940268307456,
0,20,0,1226706874624,
0,21,0,40552293376,
0,22,0,990046225,
0,23,0,16483600,
0,24,0,164836,
0,25,0,784,
0,26,0,1,
1,0,14070437574244,245935191321399712625557194816,5.721197319767191e-17
1,1,3616837547194,61483797830349928156389298704,5.882586428987844e-17
1,2,102340538819,14774076756620032717317690000,6.927034460802903e-18
1,3,5095679584,3403947284725255538069995776,1.4969913333542243e-18
1,4,7188078398,749974224747880124797595904,9.584433919619072e-18
1,5,57758406,157546668740440095660606084,3.666114085240372e-19
1,6,0,31452277462441866087065316,
1,7,0,5945610106321713816080400,
1,8,0,1059933455991179598817296,
1,9,0,177385557717532122942564,
1,10,0,27725487387975545446404,
1,11,0,4023653498481711810816,
1,12,0,538561592598682425600,
1,13,0,65973795093338597136,
1,14,0,7330421677037621904,
1,15,0,731011579981591104,
1,16,0,64610957763164736,
1,17,0,4985413407651600,
1,18,0,329647743689616,
1,19,0,18250394114304,
1,20,0,821183940864,
1,21,0,28869747921,
1,22,0,751034025,
1,23,0,13351716,
1,24,0,142884,
1,25,0,729,
1,26,0,1,
2,0,3616837547194,61483797830349928156389298704,5.882586428987844e-17
2,1,998974228840,15979641419960227387050813504,6.251543464505256e-17
2,2,49870668048,3994910354990056846762703376,1.2483551223139887e-17
2,3,1186092232,958379160547385565903922176,1.2376022786418943e-18
2,4,5706185331,220044520802763439393739076,2.5931958272919443e-17
2,5,2272183,48212561370999323072236176,4.712845597737585e-20
2,6,0,10048081079683696349175876,
2,7,0,1984806139196779525763136,
2,8,0,370100731534110231818436,
2,9,0,64852697142807850248336,
2,10,0,10624960019428270250436,
2,11,0,1618078384874263643136,
2,12,0,227542272872943324816,
2,13,0,29321686708150487616,
2,14,0,3431693250469136016,
2,15,0,360967003701647616,
2,16,0,33701394635724816,
2,17,0,2751134255977536,
2,18,0,192769787832336,
2,19,0,11328986612736,
2,20,0,542109710961,
2,21,0,20307960036,
2,22,0,564110001,
2,23,0,10732176,
2,24,0,123201,
2,25,0,676,
2,26,0,1,
3,0,121653206590,14774076756620032717317690000,8.234234097654712e-18
3,1,17129299891,3994910354990056846762703376,4.2877807934106984e-18
3,2,7220051756,1039907943302284685225610000,6.942972022932773e-18
3,3,135606678,259976985825571171306402500,5.216103208618491e-19
3,4,136712512,62257956315856563884602500,2.1959042799101853e-18
3,5,2734,14240477720640159225022500,1.920443668536393e-22
3,6,0,3101259592494968009004900,
3,7,0,640756114151852894422500,
3,8,0,125101653439058353102500,
3,9,0,22977854713296432202500,
3,10,0,3950386681821932722500,
3,11,0,632061869091509235600,
3,12,0,93500276492826810000,
3,13,0,12691173263569290000,
3,14,0,1566697064677290000,
3,15,0,174077451630810000,
3,16,0,17194589099859600,
3,17,0,1487421202410000,
3,18,0,110634634890000,
3,19,0,6914664680625,
3,20,0,352568750625,
3,21,0,14102750025,
3,22,0,419225625,
3,23,0,8555625,
3,24,0,105625,
3,25,0,625,
3,26,0,1,
4,0,32343201229,3403947284725255538069995776,9.50167512133502e-18
4,1,3375545233,958379160547385565903922176,3.522139642261016e-18
4,2,679547526,259976985825571171306402500,2.6138757012163916e-18
4,3,46508380,67789381546187865401760000,6.860717589109249e-19
4,4,1285280,16947345386546966350440000,7.58396604337957e-20
4,5,0,4050624773870978624006400,
4,6,0,922688804378668167968400,
4,7,0,199608178340436596640000,
4,8,0,40849519490304768360000,
4,9,0,7873435047506689440000,
4,10,0,1422139205455895780100,
4,11,0,239360707821636633600,
4,12,0,37296509182734240000,
4,13,0,5339748575468160000,
4,14,0,696309806523240000,
4,15,0,81851928277017600,
4,16,0,8567546125881600,
4,17,0,786735181440000,
4,18,0,62231982125625,
4,19,0,4144481640000,
4,20,0,225644000400,
4,21,0,9658958400,
4,22,0,308002500,
4,23,0,6760000,
4,24,0,90000,
4,25,0,576,
4,26,0,1,
5,0,3731694031,749974224747880124797595904,4.97576304370898e-18
5,1,427827907,220044520802763439393739076,1.9442788483361977e-18
5,2,19369721,62257956315856563884602500,3.111204182496703e-19
5,3,11727264,16947345386546966350440000,6.919823881219728e-19
5,4,0,4427232449127577876238400,
5,5,0,1106808112281894469059600,
5,6,0,263981815855227399056400,
5,7,0,59859822189393968040000,
5,8,0,12855083765836539240000,
5,9,0,2603154462581899196100,
5,10,0,494616462647053824900,
5,11,0,87688237145184057600,
5,12,0,14411872430727840000,
5,13,0,2179573299708840000,
5,14,0,300692153184321600,
5,15,0,37456461988358400,
5,16,0,4161829109817600,
5,17,0,406428624005625,
5,18,0,34256731055625,
5,19,0,2436034208400,
5,20,0,141933027600,
5,21,0,6517332900,
5,22,0,223502500,
5,23,0,5290000,
5,24,0,76176,
5,25,0,529,
5,26,0,1,
6,0,86341,157546668740440095660606084,5.48035957473347e-22
6,1,116095,48212561370999323072236176,2.4079874247039925e-21
6,2,1367,14240477720640159225022500,9.602218342682562e-23
6,3,0,4050624773870978624006400,
6,4,0,1106808112281894469059600,
6,5,0,289721539396666805313600,
6,6,0,72430384849166701328400,
6,7,0,17235070755304390560000,
6,8,0,3888662839165553120100,
6,9,0,828354214260117824400,
6,10,0,165785573352613608900,
6,11,0,31001538917654553600,
6,12,0,5382211617648360000,
6,13,0,861153858823737600,
6,14,0,125895330571982400,
6,15,0,16647316439270400,
6,16,0,1967114540187225,
6,17,0,204694541122500,
6,18,0,18422508701025,
6,19,0,1401950721600,
6,20,0,87621920100,
6,21,0,4327008400,
6,22,0,160022500,
6,23,0,4096576,
6,24,0,64009,
6,25,0,484,
6,26,0,1,
7,0,0,31452277462441866087065316,
7,1,0,10048081079683696349175876,
7,2,0,3101259592494968009004900,
7,3,0,922688804378668167968400,
