ell,m,n,n_workers,n_compressed_pairs,n_orbit_reps,n_lift_candidates,n_lps,lp_classes,sieve_s,orbit_s,lift_s,total_s,db_classes,matches_db
15,5,3,12,1700,4,26244,297,8,0.035524044999874604,0.09654210100052296,0.4842045480008892,0.6545596729993122,8,yes
21,7,3,12,18816,15,2657205,1404,22,0.5243216310000207,1.316650875999585,0.9736543529998016,2.8444955360000677,22,yes
27,9,3,12,250128,102,487862838,8505,102,11.075483157000235,37.460054565000064,7.373815953000303,55.97019654199994,102,yes
33,11,3,12,2071520,545,70381388835,26280,287,211.85670860400205,396.7073533410039,55.25712359799945,665.0689808349998,287,yes
27,9,3,12,250128,102,487862838,8505,102,11.417624671004887,0.3775651999967522,6.104376749004587,17.972546117998718,102,yes
33,11,3,12,2071520,545,70381388835,26280,287,226.30450782900152,5.735558957996545,50.92884200900153,283.22449595999933,287,yes
27,9,3,12,250128,102,487862838,8505,102,0.16737473200191744,0.28986491399700753,3.3483107290012413,3.849570903003041,102,yes
33,11,3,12,2071520,545,70381388835,26280,287,4.070252233999781,3.964291251002578,39.060174480997375,47.18913548300043,287,yes
