i,j,n_valid,denominator,fraction
0,0,1235744,1828114918084,6.759662577969395e-07
0,1,282656,418151049316,6.759662577969395e-07
0,2,57160,86394844900,6.616135495834428e-07
0,3,9368,15868440900,5.903541538223834e-07
0,4,920,2538950544,3.62354438992176e-07
0,5,24,344622096,6.964150087462761e-08
0,6,0,38291344,0.0
0,7,0,3312400,0.0
0,8,0,207025,0.0
0,9,0,8281,0.0
0,10,0,169,0.0
0,11,0,1,0.0
1,0,336384,497634306624,6.759662577969395e-07
1,1,82856,124408576656,6.659990993153445e-07
1,2,19112,28210561600,6.774767645887631e-07
1,3,3868,5712638724,6.770951545998728e-07
1,4,556,1012766976,5.489910445105192e-07
1,5,24,153165376,1.5669337696791212e-07
1,6,0,19079424,0.0
1,7,0,1863225,0.0
1,8,0,132496,0.0
1,9,0,6084,0.0
1,10,0,144,0.0
1,11,0,1,0.0
2,0,82856,124408576656,6.659990993153445e-07
2,1,22476,34134779536,6.584486645444962e-07
2,2,4932,8533694884,5.779442629530976e-07
2,3,1005,1914762564,5.248692547552856e-07
2,4,197,378224704,5.208543966498814e-07
2,5,12,64128064,1.8712556175093637e-07
2,6,0,9018009,0.0
2,7,0,1002001,0.0
2,8,0,81796,0.0
2,9,0,4356,0.0
2,10,0,121,0.0
2,11,0,1,0.0
3,0,17892,28210561600,6.342305500220881e-07
3,1,5912,8533694884,6.92783147319285e-07
3,2,1237,2363904400,5.232868131215459e-07
3,3,209,590976100,3.536522035324271e-07
3,4,25,130873600,1.9102401095408088e-07
3,5,0,25050025,0.0
3,6,0,4008004,0.0
3,7,0,511225,0.0
3,8,0,48400,0.0
3,9,0,3025,0.0
3,10,0,100,0.0
3,11,0,1,0.0
4,0,2740,5712638724,4.796382429171798e-07
4,1,1308,1914762564,6.831134181292673e-07
4,2,341,590976100,5.7701148997396e-07
4,3,41,165636900,2.475293850585226e-07
4,4,5,41409225,1.2074604149196225e-07
4,5,0,9018009,0.0
4,6,0,1656369,0.0
4,7,0,245025,0.0
4,8,0,27225,0.0
4,9,0,2025,0.0
4,10,0,81,0.0
4,11,0,1,0.0
5,0,188,1012766976,1.8563006541003168e-07
5,1,148,378224704,3.913017802242764e-07
5,2,53,130873600,4.0497090322265145e-07
5,3,5,41409225,1.2074604149196225e-07
5,4,1,11778624,8.489956042403595e-08
5,5,0,2944656,0.0
5,6,0,627264,0.0
5,7,0,108900,0.0
5,8,0,14400,0.0
5,9,0,1296,0.0
5,10,0,64,0.0
5,11,0,1,0.0
6,0,0,153165376,0.0
6,1,0,64128064,0.0
6,2,0,25050025,0.0
6,3,0,9018009,0.0
6,4,0,2944656,0.0
6,5,0,853776,0.0
6,6,0,213444,0.0
6,7,0,44100,0.0
6,8,0,7056,0.0
6,9,0,784,0.0
6,10,0,49,0.0
6,11,0,1,0.0
7,0,0,19079424,0.0
7,1,0,9018009,0.0
7,2,0,4008004,0.0
7,3,0,1656369,0.0
7,4,0,627264,0.0
7,5,0,213444,0.0
7,6,0,63504,0.0
7,7,0,15876,0.0
7,8,0,3136,0.0
7,9,0,441,0.0
7,10,0,36,0.0
7,11,0,1,0.0
8,0,0,1863225,0.0
8,1,0,1002001,0.0
8,2,0,511225,0.0
8,3,0,245025,0.0
8,4,0,108900,0.0
8,5,0,44100,0.0
8,6,0,15876,0.0
8,7,0,4900,0.0
8,8,0,1225,0.0
8,9,0,225,0.0
8,10,0,25,0.0
8,11,0,1,0.0
9,0,0,132496,0.0
9,1,0,81796,0.0
9,2,0,48400,0.0
9,3,0,27225,0.0
9,4,0,14400,0.0
9,5,0,7056,0.0
9,6,0,3136,0.0
9,7,0,1225,0.0
9,8,0,400,0.0
9,9,0,100,0.0
9,10,0,16,0.0
9,11,0,1,0.0
10,0,0,6084,0.0
10,1,0,4356,0.0
10,2,0,3025,0.0
10,3,0,2025,0.0
10,4,0,1296,0.0
10,5,0,784,0.0
10,6,0,441,0.0
10,7,0,225,0.0
10,8,0,100,0.0
10,9,0,36,0.0
10,10,0,9,0.0
10,11,0,1,0.0
11,0,0,144,0.0
11,1,0,121,0.0
11,2,0,100,0.0
11,3,0,81,0.0
11,4,0,64,0.0
11,5,0,49,0.0
11,6,0,36,0.0
11,7,0,25,0.0
11,8,0,16,0.0
11,9,0,9,0.0
11,10,0,4,0.0
11,11,0,1,0.0
12,0,0,1,0.0
12,1,0,1,0.0
12,2,0,1,0.0
12,3,0,1,0.0
12,4,0,1,0.0
12,5,0,1,0.0
12,6,0,1,0.0
12,7,0,1,0.0
12,8,0,1,0.0
12,9,0,1,0.0
12,10,0,1,0.0
12,11,0,1,0.0
