i,j,n_valid,denominator,fraction
0,0,2075000,27043120090000,7.672931204292855e-08
0,1,478080,6230734868736,7.672931204292855e-08
0,2,98640,1308887012356,7.536173792606265e-08
0,3,16936,247426656400,6.844856672443802e-08
0,4,1840,41408180100,4.443566453672761e-08
0,5,64,6009350400,1.0650069598204825e-08
0,6,0,736145424,0.0
0,7,0,73410624,0.0
0,8,0,5664400,0.0
0,9,0,313600,0.0
0,10,0,11025,0.0
0,11,0,196,0.0
0,12,0,1,0.0
1,0,561080,7312459672336,7.672931204292855e-08
1,1,138480,1828114918084,7.575016134387072e-08
1,2,31672,418151049316,7.574296429916459e-08
1,3,6768,86394844900,7.833800741043983e-08
1,4,1080,15868440900,6.805961636722609e-08
1,5,56,2538950544,2.2056357156045495e-08
1,6,0,344622096,0.0
1,7,0,38291344,0.0
1,8,0,3312400,0.0
1,9,0,207025,0.0
1,10,0,8281,0.0
1,11,0,169,0.0
1,12,0,1,0.0
2,0,138480,1828114918084,7.575016134387072e-08
2,1,37472,497634306624,7.530027472224278e-08
2,2,8210,124408576656,6.59922347853985e-08
2,3,1750,28210561600,6.203350450137795e-08
2,4,338,5712638724,5.916705332336013e-08
2,5,28,1012766976,2.764703101851536e-08
2,6,0,153165376,0.0
2,7,0,19079424,0.0
2,8,0,1863225,0.0
2,9,0,132496,0.0
2,10,0,6084,0.0
2,11,0,144,0.0
2,12,0,1,0.0
3,0,29552,418151049316,7.067302604726294e-08
3,1,9872,124408576656,7.935144236314909e-08
3,2,2180,34134779536,6.386448161180824e-08
3,3,388,8533694884,4.5466823606204764e-08
3,4,62,1914762564,3.2379993825699215e-08
3,5,8,378224704,2.1151447579690617e-08
3,6,0,64128064,0.0
3,7,0,9018009,0.0
3,8,0,1002001,0.0
3,9,0,81796,0.0
3,10,0,4356,0.0
3,11,0,121,0.0
3,12,0,1,0.0
4,0,4552,86394844900,5.2688328861158704e-08
4,1,1960,28210561600,6.94775250415433e-08
4,2,490,8533694884,5.7419442183093644e-08
4,3,78,2363904400,3.299625822431736e-08
4,4,8,590976100,1.3536926451001995e-08
4,5,0,130873600,0.0
4,6,0,25050025,0.0
4,7,0,4008004,0.0
4,8,0,511225,0.0
4,9,0,48400,0.0
4,10,0,3025,0.0
4,11,0,100,0.0
4,12,0,1,0.0
5,0,432,15868440900,2.722384654689044e-08
5,1,296,5712638724,5.181493427134497e-08
5,2,92,1914762564,4.8047732773618195e-08
5,3,20,590976100,3.384231612750499e-08
5,4,0,165636900,0.0
5,5,0,41409225,0.0
5,6,0,9018009,0.0
5,7,0,1656369,0.0
5,8,0,245025,0.0
5,9,0,27225,0.0
5,10,0,2025,0.0
5,11,0,81,0.0
5,12,0,1,0.0
6,0,8,2538950544,3.1509081651493564e-09
6,1,8,1012766976,7.899151719575817e-09
6,2,4,378224704,1.0575723789845309e-08
6,3,2,130873600,1.5281920876326472e-08
6,4,0,41409225,0.0
6,5,0,11778624,0.0
6,6,0,2944656,0.0
6,7,0,627264,0.0
6,8,0,108900,0.0
6,9,0,14400,0.0
6,10,0,1296,0.0
6,11,0,64,0.0
6,12,0,1,0.0
7,0,0,344622096,0.0
7,1,0,153165376,0.0
7,2,0,64128064,0.0
7,3,0,25050025,0.0
7,4,0,9018009,0.0
7,5,0,2944656,0.0
7,6,0,853776,0.0
7,7,0,213444,0.0
7,8,0,44100,0.0
7,9,0,7056,0.0
7,10,0,784,0.0
7,11,0,49,0.0
7,12,0,1,0.0
8,0,0,38291344,0.0
8,1,0,19079424,0.0
8,2,0,9018009,0.0
8,3,0,4008004,0.0
8,4,0,1656369,0.0
8,5,0,627264,0.0
8,6,0,213444,0.0
8,7,0,63504,0.0
8,8,0,15876,0.0
8,9,0,3136,0.0
8,10,0,441,0.0
8,11,0,36,0.0
8,12,0,1,0.0
9,0,0,3312400,0.0
9,1,0,1863225,0.0
9,2,0,1002001,0.0
9,3,0,511225,0.0
9,4,0,245025,0.0
9,5,0,108900,0.0
9,6,0,44100,0.0
9,7,0,15876,0.0
9,8,0,4900,0.0
9,9,0,1225,0.0
9,10,0,225,0.0
9,11,0,25,0.0
9,12,0,1,0.0
10,0,0,207025,0.0
10,1,0,132496,0.0
10,2,0,81796,0.0
10,3,0,48400,0.0
10,4,0,27225,0.0
10,5,0,14400,0.0
10,6,0,7056,0.0
10,7,0,3136,0.0
10,8,0,1225,0.0
10,9,0,400,0.0
10,10,0,100,0.0
10,11,0,16,0.0
10,12,0,1,0.0
11,0,0,8281,0.0
11,1,0,6084,0.0
11,2,0,4356,0.0
11,3,0,3025,0.0
11,4,0,2025,0.0
11,5,0,1296,0.0
11,6,0,784,0.0
11,7,0,441,0.0
11,8,0,225,0.0
11,9,0,100,0.0
11,10,0,36,0.0
11,11,0,9,0.0
11,12,0,1,0.0
12,0,0,169,0.0
12,1,0,144,0.0
12,2,0,121,0.0
12,3,0,100,0.0
12,4,0,81,0.0
12,5,0,64,0.0
12,6,0,49,0.0
12,7,0,36,0.0
12,8,0,25,0.0
12,9,0,16,0.0
12,10,0,9,0.0
12,11,0,4,0.0
12,12,0,1,0.0
13,0,0,1,0.0
13,1,0,1,0.0
13,2,0,1,0.0
13,3,0,1,0.0
13,4,0,1,0.0
13,5,0,1,0.0
13,6,0,1,0.0
13,7,0,1,0.0
13,8,0,1,0.0
13,9,0,1,0.0
13,10,0,1,0.0
13,11,0,1,0.0
13,12,0,1,0.0
