i,j,n_valid,denominator,fraction
0,0,433944,124408576656,3.4880553388203375e-06
0,1,98400,28210561600,3.4880553388203375e-06
0,2,19440,5712638724,3.402980818361305e-06
0,3,3168,1012766976,3.1280640809520234e-06
0,4,272,153165376,1.775858272303004e-06
0,5,0,19079424,0.0
0,6,0,1863225,0.0
0,7,0,132496,0.0
0,8,0,6084,0.0
0,9,0,144,0.0
0,10,0,1,0.0
1,0,119064,34134779536,3.4880553388203375e-06
1,1,29280,8533694884,3.431104626777514e-06
1,2,6640,1914762564,3.4677928871394e-06
1,3,1404,378224704,3.7120790502357035e-06
1,4,184,64128064,2.8692586135143577e-06
1,5,0,9018009,0.0
1,6,0,1002001,0.0
1,7,0,81796,0.0
1,8,0,4356,0.0
1,9,0,121,0.0
1,10,0,1,0.0
2,0,29280,8533694884,3.431104626777514e-06
2,1,8056,2363904400,3.4079212340397523e-06
2,2,1726,590976100,2.9205918818036802e-06
2,3,350,130873600,2.6743361533571325e-06
2,4,78,25050025,3.1137693475355815e-06
2,5,0,4008004,0.0
2,6,0,511225,0.0
2,7,0,48400,0.0
2,8,0,3025,0.0
2,9,0,100,0.0
2,10,0,1,0.0
3,0,6120,1914762564,3.196218745375471e-06
3,1,2068,590976100,3.4992954875840156e-06
3,2,440,165636900,2.6564129128231694e-06
3,3,54,41409225,1.3040572481131923e-06
3,4,4,9018009,4.4355688711333065e-07
3,5,0,1656369,0.0
3,6,0,245025,0.0
3,7,0,27225,0.0
3,8,0,2025,0.0
3,9,0,81,0.0
3,10,0,1,0.0
4,0,896,378224704,2.368962128925349e-06
4,1,448,130873600,3.4231502762971296e-06
4,2,118,41409225,2.849606579210309e-06
4,3,12,11778624,1.0187947250884314e-06
4,4,2,2944656,6.791964833922876e-07
4,5,0,627264,0.0
4,6,0,108900,0.0
4,7,0,14400,0.0
4,8,0,1296,0.0
4,9,0,64,0.0
4,10,0,1,0.0
5,0,40,64128064,6.237518725031212e-07
5,1,40,25050025,1.5968047936079903e-06
5,2,18,9018009,1.996005992009988e-06
5,3,0,2944656,0.0
5,4,0,853776,0.0
5,5,0,213444,0.0
5,6,0,44100,0.0
5,7,0,7056,0.0
5,8,0,784,0.0
5,9,0,49,0.0
5,10,0,1,0.0
6,0,0,9018009,0.0
6,1,0,4008004,0.0
6,2,0,1656369,0.0
6,3,0,627264,0.0
6,4,0,213444,0.0
6,5,0,63504,0.0
6,6,0,15876,0.0
6,7,0,3136,0.0
6,8,0,441,0.0
6,9,0,36,0.0
6,10,0,1,0.0
7,0,0,1002001,0.0
7,1,0,511225,0.0
7,2,0,245025,0.0
7,3,0,108900,0.0
7,4,0,44100,0.0
7,5,0,15876,0.0
7,6,0,4900,0.0
7,7,0,1225,0.0
7,8,0,225,0.0
7,9,0,25,0.0
7,10,0,1,0.0
8,0,0,81796,0.0
8,1,0,48400,0.0
8,2,0,27225,0.0
8,3,0,14400,0.0
8,4,0,7056,0.0
8,5,0,3136,0.0
8,6,0,1225,0.0
8,7,0,400,0.0
8,8,0,100,0.0
8,9,0,16,0.0
8,10,0,1,0.0
9,0,0,4356,0.0
9,1,0,3025,0.0
9,2,0,2025,0.0
9,3,0,1296,0.0
9,4,0,784,0.0
9,5,0,441,0.0
9,6,0,225,0.0
9,7,0,100,0.0
9,8,0,36,0.0
9,9,0,9,0.0
9,10,0,1,0.0
10,0,0,121,0.0
10,1,0,100,0.0
10,2,0,81,0.0
10,3,0,64,0.0
10,4,0,49,0.0
10,5,0,36,0.0
10,6,0,25,0.0
10,7,0,16,0.0
10,8,0,9,0.0
10,9,0,4,0.0
10,10,0,1,0.0
11,0,0,1,0.0
11,1,0,1,0.0
11,2,0,1,0.0
11,3,0,1,0.0
11,4,0,1,0.0
11,5,0,1,0.0
11,6,0,1,0.0
11,7,0,1,0.0
11,8,0,1,0.0
11,9,0,1,0.0
11,10,0,1,0.0
