i,j,n_valid,denominator,fraction
0,0,972,15876,0.061224489795918366
0,1,192,3136,0.061224489795918366
0,2,24,441,0.05442176870748299
0,3,0,36,0.0
0,4,0,1,0.0
1,0,300,4900,0.061224489795918366
1,1,72,1225,0.05877551020408163
1,2,16,225,0.07111111111111111
1,3,0,25,0.0
1,4,0,1,0.0
2,0,72,1225,0.05877551020408163
2,1,20,400,0.05
2,2,4,100,0.04
2,3,0,16,0.0
2,4,0,1,0.0
3,0,12,225,0.05333333333333334
3,1,8,100,0.08
3,2,2,36,0.05555555555555555
3,3,0,9,0.0
3,4,0,1,0.0
4,0,0,25,0.0
4,1,0,16,0.0
4,2,0,9,0.0
4,3,0,4,0.0
4,4,0,1,0.0
5,0,0,1,0.0
5,1,0,1,0.0
5,2,0,1,0.0
5,3,0,1,0.0
5,4,0,1,0.0
