i,j,n_valid,denominator,fraction
0,0,2904,213444,0.013605442176870748
0,1,600,44100,0.013605442176870748
0,2,88,7056,0.012471655328798186
0,3,8,784,0.01020408163265306
0,4,0,49,0.0
0,5,0,1,0.0
1,0,864,63504,0.013605442176870748
1,1,208,15876,0.01310153691106072
1,2,32,3136,0.01020408163265306
1,3,8,441,0.018140589569160998
1,4,0,36,0.0
1,5,0,1,0.0
2,0,208,15876,0.01310153691106072
2,1,76,4900,0.015510204081632653
2,2,11,1225,0.008979591836734694
2,3,3,225,0.013333333333333334
2,4,0,25,0.0
2,5,0,1,0.0
3,0,20,3136,0.006377551020408163
3,1,12,1225,0.009795918367346938
3,2,1,400,0.0025
3,3,1,100,0.01
3,4,0,16,0.0
3,5,0,1,0.0
4,0,0,441,0.0
4,1,0,225,0.0
4,2,0,100,0.0
4,3,0,36,0.0
4,4,0,9,0.0
4,5,0,1,0.0
5,0,0,36,0.0
5,1,0,25,0.0
5,2,0,16,0.0
5,3,0,9,0.0
5,4,0,4,0.0
5,5,0,1,0.0
6,0,0,1,0.0
6,1,0,1,0.0
6,2,0,1,0.0
6,3,0,1,0.0
6,4,0,1,0.0
6,5,0,1,0.0
