i,j,n_valid,denominator,fraction
0,0,161728,8533694884,1.8951697031402793e-05
0,1,36288,1914762564,1.8951697031402793e-05
0,2,6976,378224704,1.8444062289490218e-05
0,3,1044,64128064,1.6279923872331466e-05
0,4,44,9018009,4.879125758246637e-06
0,5,0,1002001,0.0
0,6,0,81796,0.0
0,7,0,4356,0.0
0,8,0,121,0.0
0,9,0,1,0.0
1,0,44800,2363904400,1.8951697031402793e-05
1,1,11008,590976100,1.8626810796578745e-05
1,2,2404,130873600,1.8368868893344418e-05
1,3,520,25050025,2.0758462316903876e-05
1,4,44,4008004,1.0978032956054934e-05
1,5,0,511225,0.0
1,6,0,48400,0.0
1,7,0,3025,0.0
1,8,0,100,0.0
1,9,0,1,0.0
2,0,11008,590976100,1.8626810796578745e-05
2,1,3096,165636900,1.8691487222955755e-05
2,2,645,41409225,1.557623935246313e-05
2,3,143,9018009,1.5857158714301573e-05
2,4,13,1656369,7.848492696977545e-06
2,5,0,245025,0.0
2,6,0,27225,0.0
2,7,0,2025,0.0
2,8,0,81,0.0
2,9,0,1,0.0
3,0,2144,130873600,1.6382219179421977e-05
3,1,780,41409225,1.883638247274611e-05
3,2,145,11778624,1.2310436261485212e-05
3,3,30,2944656,1.0187947250884315e-05
3,4,4,627264,6.376900316294256e-06
3,5,0,108900,0.0
3,6,0,14400,0.0
3,7,0,1296,0.0
3,8,0,64,0.0
3,9,0,1,0.0
4,0,276,25050025,1.1017953075895135e-05
4,1,152,9018009,1.6855161710306567e-05
4,2,35,2944656,1.1885938459365032e-05
4,3,2,853776,2.3425348100672776e-06
4,4,0,213444,0.0
4,5,0,44100,0.0
4,6,0,7056,0.0
4,7,0,784,0.0
4,8,0,49,0.0
4,9,0,1,0.0
5,0,0,4008004,0.0
5,1,0,1656369,0.0
5,2,0,627264,0.0
5,3,0,213444,0.0
5,4,0,63504,0.0
5,5,0,15876,0.0
5,6,0,3136,0.0
5,7,0,441,0.0
5,8,0,36,0.0
5,9,0,1,0.0
6,0,0,511225,0.0
6,1,0,245025,0.0
6,2,0,108900,0.0
6,3,0,44100,0.0
6,4,0,15876,0.0
6,5,0,4900,0.0
6,6,0,1225,0.0
6,7,0,225,0.0
6,8,0,25,0.0
6,9,0,1,0.0
7,0,0,48400,0.0
7,1,0,27225,0.0
7,2,0,14400,0.0
7,3,0,7056,0.0
7,4,0,3136,0.0
7,5,0,1225,0.0
7,6,0,400,0.0
7,7,0,100,0.0
7,8,0,16,0.0
7,9,0,1,0.0
8,0,0,3025,0.0
8,1,0,2025,0.0
8,2,0,1296,0.0
8,3,0,784,0.0
8,4,0,441,0.0
8,5,0,225,0.0
8,6,0,100,0.0
8,7,0,36,0.0
8,8,0,9,0.0
8,9,0,1,0.0
9,0,0,100,0.0
9,1,0,81,0.0
9,2,0,64,0.0
9,3,0,49,0.0
9,4,0,36,0.0
9,5,0,25,0.0
9,6,0,16,0.0
9,7,0,9,0.0
9,8,0,4,0.0
9,9,0,1,0.0
10,0,0,1,0.0
10,1,0,1,0.0
10,2,0,1,0.0
10,3,0,1,0.0
10,4,0,1,0.0
10,5,0,1,0.0
10,6,0,1,0.0
10,7,0,1,0.0
10,8,0,1,0.0
10,9,0,1,0.0
