i,j,n_valid,denominator,fraction
0,0,38700,41409225,0.0009345743611477878
0,1,8428,9018009,0.0009345743611477878
0,2,1492,1656369,0.0009007654695300383
0,3,168,245025,0.0006856443220079584
0,4,0,27225,0.0
0,5,0,2025,0.0
0,6,0,81,0.0
0,7,0,1,0.0
1,0,11008,11778624,0.0009345743611477878
1,1,2696,2944656,0.0009155568596128037
1,2,576,627264,0.0009182736455463728
1,3,124,108900,0.0011386593204775024
1,4,0,14400,0.0
1,5,0,1296,0.0
1,6,0,64,0.0
1,7,0,1,0.0
2,0,2696,2944656,0.0009155568596128037
2,1,756,853776,0.0008854781582054309
2,2,148,213444,0.0006933903037799142
2,3,37,44100,0.0008390022675736961
2,4,0,7056,0.0
2,5,0,784,0.0
2,6,0,49,0.0
2,7,0,1,0.0
3,0,488,627264,0.0007779818385878992
3,1,204,213444,0.0009557542025074492
3,2,37,63504,0.0005826404635928445
3,3,7,15876,0.0004409171075837742
3,4,0,3136,0.0
3,5,0,441,0.0
3,6,0,36,0.0
3,7,0,1,0.0
4,0,28,108900,0.0002571166207529844
4,1,28,44100,0.0006349206349206349
4,2,5,15876,0.0003149407911312673
4,3,1,4900,0.00020408163265306123
4,4,0,1225,0.0
4,5,0,225,0.0
4,6,0,25,0.0
4,7,0,1,0.0
5,0,0,14400,0.0
5,1,0,7056,0.0
5,2,0,3136,0.0
5,3,0,1225,0.0
5,4,0,400,0.0
5,5,0,100,0.0
5,6,0,16,0.0
5,7,0,1,0.0
6,0,0,1296,0.0
6,1,0,784,0.0
6,2,0,441,0.0
6,3,0,225,0.0
6,4,0,100,0.0
6,5,0,36,0.0
6,6,0,9,0.0
6,7,0,1,0.0
7,0,0,64,0.0
7,1,0,49,0.0
7,2,0,36,0.0
7,3,0,25,0.0
7,4,0,16,0.0
7,5,0,9,0.0
7,6,0,4,0.0
7,7,0,1,0.0
8,0,0,1,0.0
8,1,0,1,0.0
8,2,0,1,0.0
8,3,0,1,0.0
8,4,0,1,0.0
8,5,0,1,0.0
8,6,0,1,0.0
8,7,0,1,0.0
