ell,strategy,trials,solved,success_rate,median_time_s,mean_time_s,median_steps,median_restarts,budget_restarts,budget_steps,max_seconds
13,anneal,15,15,1.0000,0.012644,0.014247,406,1,400,20000,30.0
15,anneal,15,15,1.0000,0.015785,0.017960,748,1,400,20000,30.0
17,anneal,15,15,1.0000,0.069314,0.072026,3898,1,400,20000,30.0
19,anneal,15,15,1.0000,0.149241,0.196901,8644,1,400,20000,30.0
21,anneal,15,15,1.0000,0.496687,0.547217,29042,2,400,20000,30.0
23,anneal,15,15,1.0000,1.850449,2.468282,108113,6,400,20000,30.0
25,anneal,15,14,0.9333,3.141075,4.291986,178991,9,400,20000,30.0
27,anneal,15,15,1.0000,10.270597,11.923467,598912,30,400,20000,30.0
29,anneal,15,7,0.4667,5.398212,10.485371,316256,16,400,20000,30.0
