seeds,success_frac,median_ttf,mean_best_f,moves_per_s,micro_acc_rate,macro_acc_rate,mean_df_macro,classes_found,wall_s,classes_per_s,L,formulation,representation,total_classes,recovered_frac
40,0.975,0.004073624000739073,0.8,32014.1097055119,0.18496287167586933,0.3712088951620328,37.650181646732584,4,0.9081565230007982,4.404527081722546,13,sa,rle,4,1.0
40,1.0,0.0006573859991476638,0.0,117592.79770279754,0.25765741530499164,0.0,0.0,4,0.0758375330005947,52.74433175415441,13,sa,binary,4,1.0
40,1.0,0.005749600000854116,0.0,94293.08724724928,0.02847689206775561,0.8843327067669172,-8.140960559907928,3,0.2776584479979647,10.804641535783528,13,basinhop,rle,4,0.75
40,1.0,0.0016253070007223869,0.0,127247.3445552388,0.03356569162300275,0.7416666666666666,-9.887887667887668,3,0.1206028270025854,24.87503879105328,13,basinhop,binary,4,0.75
40,0.825,0.011430590999225387,5.6,27154.737081476545,0.10025155995458054,0.2110143862253747,57.07941050084207,7,5.083034490002319,1.3771301402278713,15,sa,rle,8,0.875
40,1.0,0.002176392499677604,0.0,112695.14934802218,0.12928466220850518,0.0,0.0,7,0.13009544200031087,53.80665065870081,15,sa,binary,8,0.875
40,1.0,0.005802682499052025,0.0,89283.56038070917,0.029664690763476727,0.8486298913504797,-6.571007554536966,7,0.36183643999902415,19.34575743675479,15,basinhop,rle,8,0.875
40,1.0,0.002556525500040152,0.0,118303.42268783956,0.037838501202386146,0.7908035714285715,-10.377142857142857,7,0.17069956200066372,41.00772092181925,15,basinhop,binary,8,0.875
40,0.625,0.01731126600134303,12.0,19202.264372344656,0.04136556740627124,0.11858933806934488,79.12018122134108,6,10.443923287999496,0.5744967513208614,17,sa,rle,7,0.8571428571428571
40,1.0,0.002704678499867441,0.0,120046.13925497254,0.09698129717808257,0.0,0.0,6,0.3181386100004602,18.859703951027264,17,sa,binary,7,0.8571428571428571
40,1.0,0.02347641400046996,0.0,89004.50612210928,0.028742923418417676,0.6663022555310594,4.4502135656331765,5,1.1128907569982402,4.492803959919946,17,basinhop,rle,7,0.7142857142857143
40,1.0,0.0049306655000691535,0.0,134650.08599505955,0.03220653491807231,0.819175556294614,-6.943020617689548,6,0.3186851709979237,18.827358616065293,17,basinhop,binary,7,0.8571428571428571
40,0.175,0.021891725999012124,26.4,5214.564759365724,0.01733616546788829,0.05308234202519324,101.63568540186664,5,21.319242819001374,0.23452990532776377,19,sa,rle,9,0.5555555555555556
40,0.95,0.02764045949879801,1.6,121977.63403340713,0.035341998869146705,0.0,0.0,7,1.8933399650013598,3.69717014872972,19,sa,binary,9,0.7777777777777778
40,0.8,0.049305835000268416,6.4,70090.00947013058,0.027017319316186,0.45066670636773576,17.55314335120027,8,4.064811725002073,1.9681108354399661,19,basinhop,rle,9,0.8888888888888888
40,0.975,0.020701433000795078,0.8,133689.8807932576,0.032193254879739466,0.6910031233353363,7.2282904417144325,7,1.7614303900008963,3.9740429367727885,19,basinhop,binary,9,0.7777777777777778
40,0.075,0.03271918600148638,29.6,2286.1876967569992,0.006480829568251731,0.03730794180859649,124.43246249806967,2,24.23198787000001,0.08253553157626267,21,sa,rle,22,0.09090909090909091
40,0.4,0.025601589000871172,19.2,50384.63897419568,0.01617387750748093,0.0,0.0,9,4.422781607001525,2.0349184743267603,21,sa,binary,22,0.4090909090909091
40,0.5,0.1101386164991709,16.0,41138.06094719733,0.026235674567836827,0.2637783009662189,30.439885301319464,14,6.9923554720007814,2.0021865387221314,21,basinhop,rle,22,0.6363636363636364
40,0.7,0.06445855300080439,9.6,92012.5382822625,0.031644736194604686,0.39566679007235167,18.8813971988722,17,3.612197144997481,4.7062769050529925,21,basinhop,binary,22,0.7727272727272727
