n,exhaust_s,sa_median_ttf,sa_success,bh_median_ttf,bh_success
13,0.18942069499462377,0.0006803350042901002,1.0,0.0019503055009408854,1.0
15,0.0139851389976684,0.002216280499851564,1.0,0.002669513996806927,1.0
17,0.046825489996990655,0.002989231503306655,1.0,0.005667531499057077,1.0
19,0.16671476299961796,0.03423242800272419,1.0,0.02370726899607689,1.0
21,0.6399995660030982,0.09027646599861328,0.66,0.07988299300268409,1.0
23,2.155713446001755,0.05206101249859785,0.16,0.1615338410010736,1.0
25,8.28242425499775,0.008483906000037678,0.02,0.8973584685008973,1.0
27,32.191448743004,0.013259045997983776,0.04,0.8198366885007999,0.68
