canonical_u,canonical_v,mine,mine_index,friend,friend_index
++++++-+-+---++----,++-++-++--+-+-++---,X,2,X,8
++++++-+--+---++---,+++-+--++-++-+-+---,X,3,X,7
++++++-+---+-+--+--,++++--++--+-+-++---,X,4,X,6
++++++-+----++--+--,+++-+-+-++-+--++---,X,0,X,2
++++++--++---+-+---,++-++-+-+-++-++----,X,1,X,3
+++++-++-+-+--+----,+++-+--++--+++---+-,X,6,X,5
+++++-++--+-+--+---,++++-+-+-++--++----,X,7,X,1
+++++-+-++-+----+--,+++-+--++--+++---+-,X,5,X,4
++++-+-+----++-++--,++++-+-+----++-++--,X,8,X,0
