canonical_u,canonical_v,mine,mine_index,friend,friend_index
++++++++++---++--+---+-+--+-+-++-----,+++-++--+-+-+-++--+-++-+--++--+++----,X,181,X,603
+++++++++-+-+--+--+--++--+---+++-----,+++++--+-+--+++--++-+--+-+-+-+--++---,X,185,X,148
+++++++++-+-+---+-++---+-+--+-++-----,++++--++--++-+-+---+--+++--+-++-++---,X,60,X,409
+++++++++-+-+---+-+-++---+---++-+----,+++-+--++-++----+-++-++--+++---++-+--,X,12,X,336
+++++++++-+-+----++--+--+--++-+-+----,++++--+-+++--++--+++--+--+-+-+-++----,X,135,X,598
+++++++++-+-+----++--+---+-++-+--+---,+++-++-+---++--++-+--+-+++---+++-+---,X,505,X,331
+++++++++-+--++---+++-+----+-+-+-----,+++-+--++--+-+-++-++---+++--+--+-++--,X,149,X,488
+++++++++-+--++----+-++----+++---+---,+++-++---++-+-++-+-+-+---+-++-++--+--,X,90,X,508
+++++++++-+--+-++---+-+---++-+--+----,+++-+-++-++--++---+-+++-+---+++--+---,X,81,X,606
+++++++++-+--+--++--+---+++----+-+---,++++-+--++--++-+-++-+--+---+++-+-+---,X,220,X,250
+++++++++-+--+--+--+++-----+++---+---,+++-+-+---++--+--++-++-+-++-+-+-++---,X,10,X,236
+++++++++-+--+---+-++-+-+-----+++----,+++--+++--++-+-++--+-+-+---++-++--+--,X,65,X,648
+++++++++-+---+-++--+-+--+---++--+---,++++-+-+--+-+-+++---++++--+--+--++---,X,490,X,399
+++++++++-+---+-++--+--+-+-+----++---,++++-++---++--+--+++--+-+-+-++-++----,X,423,X,271
+++++++++-+---+--++-+--+-+---+-++----,++++--++-+++--+---+-+-++---++-+-++---,X,225,X,512
+++++++++-+----+++--+---++-+---+-+---,+++-+-++-++-+--+---+++-+---++--++-+--,X,269,X,193
+++++++++-+----++---++-+---+-++--+---,+++-++-+-+-+++--++--+-+--+--+-+++----,X,627,X,630
+++++++++-+----++---++--+---+-++-+---,++++--+-++-++---+--++-+-+-+++--+-+---,X,496,X,465
+++++++++-+-----++---++---+-++-+--+--,+++-++-+---+++-+---+++--+--++-+-+-+--,X,377,X,256
+++++++++--++--++-----+-++--+-+-+----,++++--+-+--+-+++--+-+-+++-+--+--++---,X,212,X,286
+++++++++--++--+-+-+----++-++-----+--,++++---++-+-+-++---++-++-+--++-+-+---,X,285,X,639
+++++++++--++--+-+---+-+--+-+-++-----,++++-+--++++---++-+--++--++-+-+---+--,X,667,X,13
+++++++++--++--+--+-+---+-+-++---+---,+++-++--+-+++----++-+-+++----+-++-+--,X,29,X,556
+++++++++--++---+-++----++-+--+--+---,+++-++--+-+-+-++-+-+++---+--+++----+-,X,62,X,593
+++++++++--++---+--++-+--+---+-+-+---,++++-+-+--+++---++-+---++-++-++-+----,X,58,X,387
+++++++++--++---+--+-++---+-+--+--+--,+++++---+--+++-+-+-+-+--+++--+-++----,X,14,X,520
