canonical_u,canonical_v,mine,mine_index,friend,friend_index
+++++++-+-+--++---++-----,+++-+---+-++--++-+-++-+--,X,3,X,3
+++++++-+-+--+-+---++----,+++-++--+-++--+-+++---+--,X,20,X,39
+++++++-+--+-++---+-+----,+++-++--+--++-+-+---+++--,X,1,X,13
+++++++-+--+-+-+---++----,+++-++--+-++-++---++---+-,X,32,X,42
+++++++-+--+--+-+---++---,++++--+--++-+++--+-+-+---,X,26,X,25
+++++++-+--+--+-+---++---,+++-+---++-++-+---+-+++--,X,24,X,23
+++++++-+---++-+---+-+---,+++--+---++-++-++-+-++---,X,25,X,26
+++++++-+---++-+----++---,++++-+--+--++-+-+-+--++--,X,5,X,14
+++++++-+---+-++---+-+---,+++-++---++-+--+--+-+++--,X,22,X,38
+++++++-+---+-+---++-+---,+++--+---++-++-++-+-++---,X,23,X,24
+++++++-+---+--+-+--++---,++++--+-+-+--+--++-+++---,X,40,X,21
+++++++--++-+-+--+-+-----,+++-+-+--+--++-++--+++---,X,9,X,17
+++++++--++-----++-+-+---,+++-+-+--+--+-++--+++-+--,X,2,X,18
+++++++--+-++-+-+----+---,+++-+--++-+--++--+++-+---,X,21,X,44
+++++++--+-+-+----++--+--,++++--++---+-++-++-+-+---,X,14,X,43
+++++++--+--+-+-+---++---,++++-+---+--+-++--+++-+--,X,42,X,9
+++++++--+---+--+-+-++---,++++--+++-+---+-++--+-+--,X,0,X,35
+++++++---++--+-+-+--+---,++++-+--++-+--+---+-+++--,X,12,X,27
+++++++---++--+--+-+-+---,+++-+-++-----++-+-++-++--,X,10,X,22
+++++++---+-++--+-+--+---,++++-+-+++--+-+---++--+--,X,29,X,34
+++++++---+-++--+-+--+---,+++-++-++--+-+-+----+++--,X,28,X,33
++++++-+++---++--+-+-----,+++-+-+--+-++--+-+++--+--,X,4,X,8
++++++-+++---+-+-+--+----,++++--+-+--++--+-+++--+--,X,36,X,5
++++++-++-+-+-+--++------,+++-+--++-+--+-+++---++--,X,37,X,40
++++++-++-+--++---++-----,+++-+-++-+---++-++---+-+-,X,19,X,19
++++++-++-+--+---+-+-+---,++++-+---++-++-++---++---,X,33,X,29
++++++-++-+---+---+++----,+++-+++--+-+-+--++-+--+--,X,8,X,15
++++++-++--+-+---++-+----,+++-++--+-+----+++-+-++--,X,6,X,16
++++++-++--+---+-+--++---,++++--+-++-+-+-+++--+----,X,27,X,37
++++++-++----+-++---+-+--,+++-++----++--+-+-+++-+--,X,30,X,31
++++++-+-++--++---+-+----,++++-++---++-+--++-+---+-,X,45,X,10
++++++-+-++---+-+---+-+--,++++-+--+--++--+++-++----,X,18,X,7
++++++-+-+-++-++----+----,++++--+-++--++--++-+-+---,X,41,X,30
++++++-+-+--++--+--++----,+++++-+-+---++---++-+--+-,X,15,X,32
++++++-+-+--++---+--+--+-,++++-+-+---++++--+--++---,X,16,X,20
++++++-+-+--++----+-+-+--,++++--++-+--++-+++--+----,X,38,X,2
++++++-+--+++---+-+---+--,+++++-+--++---++-+-+--+--,X,31,X,45
++++++-+--+-++--+-+-+----,++++--+++-++---+---+-++--,X,17,X,28
++++++-+--+-++---++--+---,++++-+++-+---+-++---+-+--,X,39,X,6
++++++-+--+--+-+---+++---,+++++-+---+--+-+-++--++--,X,7,X,36
++++++-+---+-+--+---+++--,+++-++-++----+++-+-+--+--,X,13,X,4
++++++-+----+-+-+--++-+--,++++-+--++-++---+---+++--,X,34,X,12
++++++--++--+-++--+-+----,+++-++--+++-----+-+-++-+-,X,43,X,0
+++++-+++--+---+-++-+----,+++-++--+++----+-+--++-+-,X,11,X,41
+++++-+++--+---+-+--++---,+++++--+-++-+-+-++--+----,X,35,X,11
+++++-++-++---++-+-+-----,+++-+++-+--++----++-+-+--,X,44,X,1
