canonical_u,canonical_v,mine,mine_index,friend,friend_index
+++++++---+-+--+-+---,+++-+---++--+-++-++--,X,5,X,7
++++++-+-+-+--+--+---,++++--++--++-+-++----,X,6,X,12
++++++-+-+-+--+--+---,++++--+-++--+++--+---,X,7,X,14
++++++-+-+--++----+--,++++--+--++-+-+-++---,X,17,X,19
++++++-+--+-+--++----,+++-++--++----++-+-+-,X,9,X,15
++++++-+--+-+---+-+--,++++--++---+-+++--+--,X,13,X,10
++++++-+--+-+---+-+--,+++-++----+++-+--++--,X,12,X,9
++++++-+--+--+-+-+---,+++-++----++--+-+++--,X,10,X,8
++++++-+--+---+-+-+--,++++--++--++-+-++----,X,8,X,13
++++++-+----++--+-+--,++++-+-+-++--+--++---,X,16,X,6
++++++-+----+--++-+--,+++-+-+--+++---+-++--,X,15,X,5
++++++--++--+-+---+--,++++-+-+--+--+-+++---,X,11,X,21
++++++--++---+-+--+--,+++-+-++----+-+++-+--,X,14,X,2
++++++---++-+--+-+---,+++-+++-+---+--+-++--,X,0,X,0
+++++-+++---+--++----,+++-++-+---+-+-++-+--,X,4,X,20
+++++-+++----+--++---,++++-+--+-+-+-++--+--,X,1,X,17
+++++-+++----+--++---,+++-+-+--+--+++-+--+-,X,2,X,18
+++++-+++----+--++---,+++-+---+-++-++-+-+--,X,3,X,16
+++++-++-+-+--++-----,+++-+-+-++-++----++--,X,18,X,11
+++++-+-++-++----+---,++++-+-+--++--++-+---,X,20,X,4
++++-+++--+--++-+----,++++-+--+---+-+-+++--,X,19,X,1
++++-++-+-----+-+++--,++++-+-+--++--++-+---,X,21,X,3
