canonical_u,canonical_v,mine,mine_index,friend,friend_index
+++++-+++---+-+-++-+----++--+--,+++++-+++---+-+-++-+----++--+--,X,197,,
+++++-+++---+-+-++-+----++--+--,++++-++-+++--+--+----+++-+-+---,X,199,,
+++++++++---+-+---+-+--++--+---,++++--+--+++--++-+--+-+-++-+---,X,113,X,179
++++++++-+-+--+-+-++----++-----,++++--++--++-++--+-+--++-+-+---,X,41,X,184
++++++++-+-+---++----+-++-+----,+++-+-+-++--++--++-++-+--++----,X,60,X,127
++++++++-+-+---++----+-++-+----,+++--++-++-+-+---+-++--++-++---,X,59,X,128
++++++++-+--++---++---+-+-+----,++++-+--++---+-++--+-++-++---+-,X,134,X,82
++++++++-+--++---+-+--++--+----,+++-+-+--+++-+----++-+--+++--+-,X,85,X,170
++++++++-+--+-+---+-+-+--++----,++++-+----+++--+-+--++--++-++--,X,68,X,72
++++++++-+--+--++-+-+----++----,++++-+--++--++---+-+-+-++-++---,X,176,X,137
++++++++-+--+--++--++----+-+---,++++-+---++++--+-+-+--++--+-+--,X,79,X,106
++++++++-+--+---++-+---+-++----,++++-++--++--+-+-+---+++--+-+--,X,115,X,28
++++++++-+--+---++---+-+-++----,++++-+--+--+--++--++-+-+-+++---,X,80,X,139
++++++++-+--+---++----+++-+----,+++--++-+-++-++--++-+---+-+-+--,X,15,X,160
++++++++-+---++-+----++-+---+--,++++-+-+-+--++---++-++-+--++---,X,179,X,61
++++++++-+---+-++--+---++--+---,++++-+-++-+---+-++---+++--+-+--,X,39,X,120
++++++++-+---+-+-+--+---++-+---,++++--++-+--+-++-+++---++--+---,X,18,X,90
++++++++-+---+--+++----+-+--+--,++++--++--+++-+--+-++--+-+-+---,X,135,X,76
++++++++-+---+--++---++--+-+---,++++-+--++--+-+-+--+--+-++++---,X,64,X,145
++++++++-+---+--+-+--+-+--++---,++++---++-+++-+---+-+--++-++---,X,88,X,152
++++++++-+---+--+--++---++-+---,+++-+++--+-+--+-++-+---+-+++---,X,57,X,134
++++++++-+----+--++--+---+++---,+++-+-+-+-++-+--+-++-++--++----,X,46,X,74
++++++++--+++----++--+-+-+-----,++-++-+-++--++-+-+---++-++---+-,X,1,X,187
++++++++--++-+----+-+-+--++----,+++-++--+---+++---++-++-+--+-+-,X,83,X,104
++++++++--++--+-+--+-+--++-----,+++-++--+--+-+--+++----+++-+-+-,X,119,X,46
++++++++--++---+-+--+--++-+----,++++-+--+-+-+++---+-+---++-++--,X,133,X,2
++++++++--++---+--+---+-+++----,++++--+-+-+--++-+-+++--+-+--+--,X,28,X,132
++++++++--++----+++----+-+--+--,+++-++--+--+-++-+-+-+-+++---+--,X,11,X,180
++++++++--+-++---+-++---+---+--,+++-++----+++-+-++-+--++-+-+---,X,96,X,192
++++++++--+-++----+--++--+-+---,+++++--++---+-+-++-+-+--++-+---,X,163,X,110
++++++++--+-+-++--+-+-+----+---,+++-+---++-++-++-+--++--+++----,X,111,X,69
++++++++--+-+-+-+--++---++-----,++++-+--++-+++--+-++---+-+--+--,X,114,X,31
++++++++--+-+-+---+--+++----+--,+++-++-++--+-+--+-++---+-+++---,X,120,X,51
++++++++--+-+-+----+-++--+-+---,+++++--+--+--+-+-++--++--+++---,X,106,X,3
++++++++--+-+-+-----+++--+--+--,+++-+-++---++--+++-+---++-+--+-,X,149,X,65
++++++++--+-+--++---+---++-+---,++++-+-++--+--+--+++-+-+-++----,X,153,X,103
++++++++--+-+--++----+-++---+--,+++-+-++--+--+++-+--+++----+-+-,X,164,X,45
++++++++--+-+--+--+-+---++-+---,+++++--++---+--++-+--+++-+-+---,X,160,X,21
++++++++--+-+--+--+---+++--+---,+++-+-+++-+-+--+-+++--+--++----,X,52,X,67
++++++++--+-+---+-++---++--+---,++++-+--+-+-+--++----++-+++-+--,X,38,X,114
++++++++--+-+----++---+-+++----,++++-++-+--++--++--+-+-+-+--+--,X,12,X,99
++++++++--+--+++-+---++----+---,++++--+-+-+-+--+--++-+-++-++---,X,93,X,77
++++++++--+--++-++-+-----+-+---,++++--+-+-++---++--++-+-+-++---,X,54,X,75
++++++++--+--+-++-+-+-----++---,++++--+--+-+-+-+--++--++-+++---,X,147,X,191
++++++++---++-++---+-++----+---,+++-++-+--+-+++---++--+--+-+-+-,X,50,X,121
++++++++---++--++-++-----++----,+++-+-+--+-+-+---+-++-++-+-++--,X,0,X,153
+++++++-+++---+-+--+--+-++-----,+++-+-+--+-+-+++--++-++--++----,X,78,X,97
+++++++-+++---+-+----+++--+----,+++-+--++-++-+--++-+-+-++---+--,X,30,X,80
+++++++-+++----+-+--+--++--+---,++++--+--+-++-+++---+-+-+-++---,X,98,X,122
+++++++-++-+-+-----++--++-+----,++++--++-+-++--++--+-+-+-++----,X,124,X,35
+++++++-++-+--+-+-+---++--+----,++++-+---++-++-++--+++---+-+---,X,187,X,59
+++++++-++-+---++-+--+-+---+---,++++-+---+-+--+++--+--++-+++---,X,17,X,89
+++++++-++--+-++-+-+---++------,++++--+-+-+-+++--++--+--+-++---,X,131,X,43
+++++++-++--+-+---+++---+--+---,+++++--+-+-++-+---+-+--+++--+--,X,48,X,125
+++++++-++--+--+++----+--+-+---,++++-+-+---+-++-+--+++-+---++--,X,150,X,95
+++++++-++--+--++-+---++---+---,++++-+--+-+++-+-+--+++----+-+--,X,14,X,185
+++++++-++--+--++--+-+----++---,++++-+----+++-++-+-++--+-+-+---,X,102,X,98
+++++++-++--+--+-+----++-+-+---,+++-++-+---+-+--+++-++--+++----,X,152,X,129
+++++++-++--+---+-+-++----++---,+++++--+-+-++-+---+--++-+-++---,X,126,X,142
+++++++-++---+-+++---+----++---,+++-+--+-++---+-+-++-++-++---+-,X,91,X,94
+++++++-++---+-+++----++----+--,+++-+-+--++-+-++---+--+-+++--+-,X,31,X,13
+++++++-++---+-+--++---+-+--+--,+++++--+--+---+++-+--+-+-+++---,X,36,X,38
+++++++-++---+--+++----+-+---+-,++++--+-+--++-+---++-+-+++--+--,X,136,X,130
+++++++-++----+++-+----+-+---+-,+++--+-++-++-+-+---++-++--++---,X,27,X,131
+++++++-++----+++----++--+---+-,+++-+++--+-+-+-++-+--+-++--+---,X,23,X,154
+++++++-++----++-+---+-++---+--,++++-++---+++--++-+---+-+-+--+-,X,20,X,37
+++++++-++----++--+--+-+-+--+--,+++-+++-++----+++---+-+-++-+---,X,26,X,11
+++++++-++----++---+-+-+-+--+--,+++++-+--+-+++--+-++---++--+---,X,162,X,68
+++++++-++----++---+-+-+--+--+-,++++-+---++-+-+---++++--++--+--,X,75,X,88
+++++++-++-----+++---+---++-+--,++++--++-+-+--++-+-+-++-+---+--,X,43,X,49
+++++++-++-----++-+-+----++-+--,++++-++--+-+-+-++--++---++-+---,X,174,X,175
+++++++-++-----++-+-+----++-+--,++++--++-+-++--++--++-+-+-+----,X,175,X,174
+++++++-++-----+-+-+---++-++---,++++-++-+---++-+-+--++-+--++---,X,140,X,162
+++++++-++-----+-+-+---++-++---,++++--++-+--+++--+-++-+-+---+--,X,139,X,161
+++++++-+-+++----+-+-+--++-----,+++--++---+-++-+-++-++-++--+---,X,97,X,189
+++++++-+-+++----+--++--++-----,+++-+-+++-+--+-+-++-+--+--++---,X,87,X,156
+++++++-+-+++-----+-++-+---+---,++++--++-++--+-+--+-+-++--++---,X,44,X,164
+++++++-+-++-+-+-+---++--+-----,++++--++--+-+--++-+++--+-++----,X,40,X,182
+++++++-+-++-+---+-+---++--+---,+++-+++--+---+-++-++-+--+++----,X,156,X,149
+++++++-+-++--++----++-+---+---,+++-+-++-++---++-+--+++-+----+-,X,159,X,39
+++++++-+-++---++-+---++---+---,+++++-+---+-+--+-++--+-+++--+--,X,51,X,141
+++++++-+-++---++-+---+-+---+--,++++-+-+--+-++--+++--++-++-----,X,183,X,64
+++++++-+-++---++--+--+-+--+---,++++--+++-+----+-+++-+---+-++--,X,53,X,81
+++++++-+-++---+--++--+-+----+-,+++++--+-+--++-+--++---+++-+---,X,32,X,198
+++++++-+-++----+--+-+-+-+--+--,++++-+--++--+--++---+++-+++----,X,92,X,20
+++++++-+-++------+++---++---+-,+++-+-+-+--+++--+--+-++-++--+--,X,33,X,196
+++++++-+-+-++--++-+--+---+----,++++-+--+--+++--++-+---+++---+-,X,45,X,55
+++++++-+-+-++--+--+-++---+----,++++--++++--+-+-+---++-++---+--,X,116,X,58
+++++++-+-+-++---++---+-+---+--,++++--++-++--+-+--+-++-+++-----,X,69,X,123
+++++++-+-+-++---+--++----++---,+++++--+-+--++-+-+-++-++--+----,X,180,X,84
+++++++-+-+-++----++-+--+--+---,++++-+--+++-+--++--+++---+---+-,X,188,X,124
+++++++-+-+-+--++--+-+--++-----,+++++--+-+++--+++--+-+--+--+---,X,122,X,50
+++++++-+-+-+--+-++--+----++---,++++-++-+-+-++--+--++--+++-----,X,190,X,168
