canonical_u,canonical_v,mine,mine_index,friend,friend_index
+++++++-+-+-+--+-++---++--+----,++++-+++-+-+--++--+--+--+++----,X,155,X,148
+++++++-+-+-+--+-+--++-----++--,++++-+----++-+++--++-+--++-+---,X,146,X,171
+++++++-+-+--+++-+--+----++----,++++-+--+-+---+-+++-+--++--++--,X,158,X,107
+++++++-+-+--++-+-++----++-----,+++-+++--++-++--++-+--+-+-+----,X,6,X,34
+++++++-+-+--++----+-++--++----,+++++-+--+-+-+--++-+---+--+++--,X,118,X,32
+++++++-+-+--+-+---++--+--++---,++++--+-++-++-----+-+-+++-++---,X,143,X,126
+++++++-+-+--+--++-+---+---++--,++++-+--+++--+-+---+-++-+++----,X,99,X,18
+++++++-+-+--+--++----+++--+---,++++--+-+--+---+-+-+++-++-++---,X,141,X,14
+++++++-+-+--+---+--+++----++--,++++-+--+-++-++--+---+-+-+++---,X,121,X,113
+++++++-+-+---++++---+--+--+---,+++-++--++-+--+-++----+-+-+++--,X,181,X,23
+++++++-+-+---+-++---++-+-+----,++++-++-++-+--++--+---+--+++---,X,34,X,190
+++++++-+-+---+-++-----++-+-+--,++++-+-++--+--+--+++-++---++---,X,35,X,66
+++++++-+-+---+--+-++---+++----,+++-++-+-++-+++--+--++-+---+---,X,117,X,54
+++++++-+-+----++--+--+-+-++---,+++++--+++--+--+--+--+++-+-+---,X,177,X,22
+++++++-+-+----+-++--+--++-+---,++++--+++--+++-+----+--++-+-+--,X,56,X,197
+++++++-+-+----+-+--+--+++--+--,+++++-+--++--+-+---+++--++-+---,X,42,X,165
+++++++-+--+++--+-+---+-+--+---,++++-++-++---+-+-+++--+--++----,X,67,X,159
+++++++-+--++--+-+-++---++-----,+++-+++-+-++-+-++--+---+-++----,X,13,X,118
+++++++-+--++--+---+-+---+++---,++++-++--+---++++-+-+--+-+--+--,X,84,X,60
+++++++-+--++---+-++-+---+-+---,++++-++---+++-+--+---+-++---++-,X,37,X,109
+++++++-+--++---+-++--+-+---+--,++++-++---+++-+----+-+--+++-+--,X,24,X,87
+++++++-+--+-+++--+--+-+---+---,+++-+++-+--++----+-+++---++-+--,X,100,X,150
+++++++-+--+-+-++--+-----++-+--,+++-+++---++--+--+++-+-+-++----,X,73,X,178
+++++++-+--+--+++---+-+---+--+-,++++--+--++-+++--+++--+-+-+----,X,151,X,17
+++++++-+--+--++--++----++-+---,++++++-+-+-+---++-+--+-+--++---,X,191,X,83
+++++++-+--+--++--+-+---+-+-+--,++++-+--+++-+--+++--+++--+-----,X,194,X,108
+++++++-+--+--+-+-+-+---++-+---,++++-++--+----+-++---++++--++--,X,94,X,102
+++++++-+--+--+---+-+--+++---+-,++++--+-+-+--+--++--+++-+++----,X,185,X,78
+++++++-+--+---+---++--++++----,+++-++-+-+-+++---+-+--+--++-+--,X,2,X,140
+++++++-+---++-++---+-+---+-+--,++++++--+-++--+--+-+-++---++---,X,192,X,25
+++++++-+---++-+-+--++---++----,++++++-+--++---+-+-+--+--++-+--,X,170,X,71
+++++++-+---++-+-+--++---++----,+++++-+-++-++---+-++--+---+-+--,X,171,X,70
+++++++-+---++--+--+-++----++--,++++-+-+-++--+-+----+-+++-++---,X,105,X,167
+++++++-+---++----+-+-+--++-+--,++++-++--++---+-+--+-+++-++----,X,184,X,44
+++++++-+---+--+-++-+---+++----,+++-++-++-+-+++--+---+-+---++--,X,49,X,73
+++++++-+---+--+-+---+++-+--+--,++++-++-+-+-++----+++---+--++--,X,58,X,24
+++++++-+---+--+--+-+---++++---,++++-+-++--+-+--+++--++--+---+-,X,4,X,195
+++++++-+---+--+---+-++-+-++---,+++++--++---+--+-++--+-+-+++---,X,104,X,136
+++++++-+---+--+----+++--++-+--,++++--+-+--+--+++-+-+-+++--+---,X,137,X,41
+++++++-+---+---++-+--+-++-+---,++++--+++-+-+-++-----+-++--++--,X,123,X,36
+++++++-+---+---+-+--+--++++---,++++-+--+-+---++-+-+++--++--+--,X,71,X,176
+++++++-+----++-++---+-+---++--,++++-+--+++--+-+---+--+-+++-+--,X,172,X,27
+++++++-+----+--+-+--++--+-++--,+++++--+--+-+-+---+++--+++-+---,X,89,X,40
+++++++--+++--+-+-+--++--+-----,++++-++-++----+++--+--+-+-+-+--,X,132,X,62
+++++++--+++--+--+-+-+-+--+----,+++++-+-+--++-++---+-++----++--,X,157,X,186
+++++++--+++--+----+-++---+-+--,++++--++-++--+--+-+-+++-+-+----,X,108,X,169
+++++++--++-++--+--+-+--+-+----,+++++-+--++----+-+-+-+++--++---,X,63,X,86
+++++++--++-+---+-+-++--+--+---,++++-+-+--+---+++----+-++-+++--,X,5,X,163
+++++++--++--++++--+-+--+------,+++-+--++-++-+-+-+-++---++-+---,X,10,X,183
+++++++--++--++-+--+-+---+-+---,+++++-+---++-+++--+-+----++-+--,X,173,X,12
+++++++--++--++-----++-+--+-+--,+++-+-+++-+-----++-++-+-+-++---,X,55,X,105
+++++++--++--+-+++--+-----+-+--,++++-+---+++--++-+---+-++-+-+--,X,138,X,157
+++++++--++--+---+-+--+-++-+---,++++++-+-+-+--++---++-+--++----,X,109,X,91
+++++++--++--+------+++-+-++---,++++-+---++--+-+-+-++-+--++-+--,X,90,X,33
+++++++--++---++++-----+-+--+--,++++-+-++--+-+-+-++-+---+--++--,X,9,X,57
+++++++--++---++-+---+-+-+--+--,+++-++-++-+++----+++-+-+--+----,X,142,X,4
+++++++--++---+-+-+-+--+++-----,++++-+++--+-++---+--+--+-++--+-,X,95,X,92
+++++++--++---+-----+++-++-+---,++++-+--+++--+-+-+-+--+--++-+--,X,65,X,115
+++++++--++---+-----+++-++-+---,++++--++-++---+-+-+-+--+-++-+--,X,66,X,116
+++++++--++----+--+--+-+-+++---,+++++-+--+---++-+-+-++--++-+---,X,62,X,143
+++++++--+-++-+---++-++---+----,++++-+-+-+---+--++--+-+--++++--,X,21,X,100
+++++++--+-++-+---++-++---+----,+++-+++-+-++-++--+-+-+---++----,X,22,X,101
+++++++--+-+-+++---+-+----+-+--,+++-++-++--+---+++-++----++-+--,X,72,X,48
+++++++--+-+-++--+--++----++---,+++++-+-+-++-+-+--++-++----+---,X,182,X,29
+++++++--+-+-++---++-+---+-+---,++++-+++--++-+----+--++-++-+---,X,74,X,19
+++++++--+--+-+--++-+---++-+---,+++-++-+++-+-----+-+-++---+++--,X,196,X,96
+++++++--+--+---+-+---+++-++---,+++++--+++--+-+-+-++-+--+--+---,X,130,X,42
+++++++---+++--+++-+---+-+-----,++++-+-++-+--+--+--++--++--+-+-,X,3,X,111
++++++-++++----+--+-+--++--+---,++++-++--+--+-+++---+-+-+-++---,X,7,X,181
++++++-+++-++----+--+-+-+-+----,+++-++----+++--+++-+--++-+--+--,X,29,X,112
++++++-+++-+--+---+---+++-+----,+++-+-++-+--+++--+-++--++----+-,X,154,X,119
++++++-+++-+---+----+-++-++----,+++-++--+++--++-+--+-+-+-++----,X,178,X,47
++++++-+++-+----++---++--+-+---,+++++-++--+--++-+-+--+-+-++----,X,8,X,188
++++++-+++---+-++---++---+---+-,+++++-+---++-+-++-+--+--++-+---,X,81,X,193
++++++-+++----++-++----+--+-+--,+++++--+-+--+++-+-+-+---++--+--,X,125,X,166
++++++-++-+++---+-+---++-+-----,+++-++---+--+-++-+-+++-+--++---,X,112,X,56
++++++-++-++--+-+--+-+-++------,+++-+-+-+++--+++--++-+--++-----,X,103,X,85
++++++-++-+-+----++---++-+---+-,++++-+-+--++-++--+++--++-+-----,X,128,X,63
++++++-++-+--++---++--++-+-----,++++-++-++---+-+-+-+----+++--+-,X,76,X,177
++++++-++-+--+-+++--+---+-+----,+++-++--+-++--+++-----+-+-+++--,X,161,X,15
++++++-++-+--+--++--+-+----++--,++++-+++-+---++-+-+---+++-+----,X,101,X,172
++++++-++-+---++-+----++-+-+---,+++-++---+----++-++-++---+++-+-,X,148,X,52
++++++-++-+---++--++---+-++----,+++++-++--+-++-+-+-+---++----+-,X,127,X,194
++++++-++-+---+--+--+-++---++--,++++-+-+-+-++--+++--+-+++------,X,107,X,146
++++++-++--++-+---+---+-+-++---,+++++-+-++----++--++-+-++-+----,X,47,X,53
++++++-++--++--+-+---+-++----+-,+++-+-++-+-++--+-+++--+++------,X,186,X,135
++++++-++--++---+-+-+--+-++----,++++-+++---++-++-++-----+-+-+--,X,145,X,16
++++++-++--++----+-++-+---+-+--,++++-+++-----+++--+--+-+-+-++--,X,86,X,155
++++++-++---++-+-+--++--+-+----,+++++-+-+--++-+--++-----+-+++--,X,61,X,158
++++++-++---+-++-+---+-+---++--,+++-+++-++-----+-++-+--+-+++---,X,166,X,9
++++++-++-----+-+-+--++-+-++---,++++-++-+-+----+++---+--++-++--,X,165,X,10
++++++-++------+++---++-+-++---,++++-++-+-+---+-+-+--+--++-++--,X,70,X,93
++++++-+-+++--++--+---+-+-+----,+++++-++--+--+-++-+-++---++----,X,82,X,147
++++++-+-++-++--++---+-+---+---,++++--+-++---++-+-++-+++-+-----,X,19,X,30
++++++-+-++-+--++--++-+----+---,++++-+++-+---+-+-++----++-++---,X,193,X,117
++++++-+-+-++-+--++---+--++----,+++++-++--+-+-+++--+-++----+---,X,16,X,151
++++++-+-+-++--++-+---++----+--,+++-+++-++-----+-++-+--+-+++---,X,169,X,6
++++++-+-+-+----++--++-+-++----,++++++--++--++-+----+-+--++-+--,X,110,X,144
++++++-+-+--++---+--+--+-+++---,++++-+++----+++-++--+-+---+--+-,X,77,X,79
++++++-+-+--+---+-+--++-+++----,++++++--++---+-+---++--+-++-+--,X,25,X,173
++++++-+-+---+--++-+--+++--+---,++++-+++--+-+++-----+-+--+-++--,X,144,X,133
++++++-+-+-----+-+--++--++++---,++++-++---+-+++-+--+-+--+--++--,X,129,X,5
++++++-+--++-+-+---++---++-+---,++++-++------+-+-++-++--+-+++--,X,168,X,7
++++++-+--++--+++-+-----+-+--+-,++++-+-+-++--+++--++-+--++-----,X,195,X,26
++++++-+--+---+---+-+++--+++---,++++-+++---+--++-+---+-++-+--+-,X,189,X,138
+++++-+++--++--+-+-+--+--++----,+++++-++----+--+-+-+--++++---+-,X,167,X,8
+++++-+++---+-+-++-+----++--+--,+++++-++--+++----++-+-+--+---+-,X,198,X,1
++++-++-+++--+--+----+++-+-+---,++++-++-+++--+--+----+++-+-+---,X,200,X,0
