canonical_u,canonical_v,mine,mine_index,friend,friend_index
++++++++--+-+--++---+-+----,+++-+--+++--+--++-+-++---+-,X,64,X,82
++++++++--+-+--++---+-+----,+++-+---++-++-++--+-+-++---,X,65,X,83
++++++++--+-+----+-++--+---,+++-+---+++--++-+--++-+-+--,X,41,X,101
++++++++--+---+++----+-+---,+++-+--+-+-++--+--++-+-++--,X,0,X,66
++++++++--+---++-+---+-+---,+++-+--+++--++---+-++-+--+-,X,40,X,81
++++++++---++-+-+---+-+----,++++--++-+--+-+-++--++--+--,X,21,X,61
++++++++---++--+-+--+--+---,+++-+-+-+--+-+++----++-++--,X,2,X,77
+++++++-++--+-+--+-+-+-----,+++-++---++-+--++--+-+++---,X,16,X,72
+++++++-++--+--+--+-+-+----,+++-++---+++-+--+++--+-+---,X,35,X,85
+++++++-++--+--+--+-+-+----,+++-++---++-+---+++-+-++---,X,33,X,87
+++++++-++---+-+-+--+--+---,++++--++---++-+--+-+++-+---,X,58,X,67
+++++++-++---+-+-+--+--+---,+++-+-+--+++----++-++-++---,X,57,X,68
+++++++-++---+--+-+--++----,++++-+--+--++--+-+-+-+++---,X,54,X,28
+++++++-+-++---+-++---+----,+++-+--+--++-+-++--+++-+---,X,15,X,34
+++++++-+-+--+++---+-+-----,+++-+--+++-+--+--+-++--++--,X,14,X,51
+++++++-+-+--++-+--+---+---,++++--++--+-+++--+-+-++----,X,25,X,40
+++++++-+-+--++-+---++-----,+++-++-+-++-+---+-++--++---,X,69,X,5
+++++++-+-+--++--+---++----,++++-++-+---++-+--++-+-+---,X,62,X,17
+++++++-+-+--++--+---++----,++++-+-++--+-++--++-+-+----,X,63,X,16
+++++++-+-+--+---++--+-+---,+++-+++-+--+-++--+--+++----,X,30,X,74
+++++++-+-+--+----++-+-+---,+++-+-++-++--+--++--+++----,X,11,X,80
+++++++-+-+----+---+++-+---,+++-+--+-++-++--++--+-++---,X,1,X,65
+++++++-+--++--+-+-+--+----,++++-+---++---++--+-+++-+--,X,5,X,84
+++++++-+--++--+-+--+-+----,+++-+++-+--++-+---+++---+--,X,68,X,57
+++++++-+--+-++---+-+---+--,++++-+--++-+---+++--++---+-,X,100,X,20
+++++++-+--+--++----+-++---,++++-+-+-+---++-++-+---++--,X,92,X,19
+++++++-+--+--+--+---+++---,+++-++-+---++-+-+-+++---+--,X,31,X,96
+++++++-+---+++--+---+-+---,++++--++--+---+-++-+-++-+--,X,56,X,42
+++++++-+---+++---+-+----+-,+++-+--+-++--+--+-+++--++--,X,13,X,69
+++++++-+---++-++-----+-+--,+++-+-+-++-+--+--++--+++---,X,42,X,21
+++++++-+---++-+-+----++---,+++-+-+++-+--+--+--+++--+--,X,47,X,48
+++++++-+---++-+--+---+-+--,+++++--++---++-+-+--++-+---,X,9,X,73
+++++++-+---+-++-+----+-+--,+++-++---+++---+-+--++-++--,X,26,X,79
+++++++-+---+-++--+---++---,+++++-+--+-+-+--++---++-+--,X,60,X,10
+++++++-+---+-++---+---++--,++++--++-+--++-+-+-++-+----,X,8,X,90
+++++++-+-----++---++-+-+--,+++-+-++--++-++--+-+-++----,X,74,X,26
+++++++--++-++--+-+-+------,+++--+++--+-+-++-+--++-+---,X,17,X,53
+++++++--++-+--+-+---+-+---,++++-++---+-+++--+-++---+--,X,45,X,23
