canonical_u,canonical_v,mine,mine_index,friend,friend_index
+++++++--++-+--+-+---+-+---,+++-++-+-++---+--++-+++----,X,44,X,22
+++++++--++-+---+-++---+---,++++-++-+---+++--+--+-+-+--,X,50,X,60
+++++++--++--+-++----+-+---,+++-++---++-++-++-+-+-+----,X,70,X,7
+++++++--++--+--+-+-+-+----,+++-+-++-++-+--+++-----++--,X,95,X,58
+++++++--++---+-+-+--++----,+++--++-++-++-+-+-++-+-----,X,53,X,93
+++++++--++---+--+-+-++----,+++-+-+++-+--++-++----+-+--,X,55,X,49
+++++++--++----+-+--++-+---,+++++--++-+-+---++-+-+--+--,X,79,X,0
+++++++--++----+-+--++-+---,++++-++---+-+-++---+-++--+-,X,80,X,1
+++++++--++-----++--+-+-+--,++++-++---+-++-+--++-+-+---,X,43,X,46
+++++++--+-++--++--+-+-----,++++--+++-++--+-+--+-+-+---,X,52,X,70
+++++++--+-+-+---++-+--+---,++++--++++--+-+-++--+---+--,X,82,X,3
+++++++--+-+--+--+---+++---,++++-+-+-+--++-++--++----+-,X,29,X,78
+++++++--+--+-++---+-+-+---,++++-+++--+---+-++---++-+--,X,51,X,56
+++++++--+--+-+-+---+-++---,++++-+-++-----++-+-++--++--,X,32,X,41
+++++++--+--+--+-+---+++---,++++-+-+---+--++--+++-+--+-,X,37,X,35
+++++++--+---++-+---++-+---,+++++-+-++--+-+--++---+-+--,X,3,X,59
+++++++--+---+--++---+++---,++++-+---+--+-+-+-++-++-+--,X,10,X,18
+++++++---+++-+-+--+---+---,+++-++-++-+-+--++--+-++----,X,39,X,4
+++++++---+++--+-+-+---+---,+++-++--++-++-++-+--+-+----,X,34,X,88
+++++++---+++--+-+--+--+---,+++-++--+----++-+-+-+++--+-,X,38,X,30
+++++++---++--+-+--+-+-+---,++++--++-+----+--++-+++-+--,X,99,X,27
+++++++---+-+-++--+--+-+---,+++-++-+++-+----++---++-+--,X,7,X,45
++++++-+++--+--+-+--++-----,+++-+-++--++----+++-+--+-+-,X,59,X,89
++++++-+++---+-++-+----+---,+++-++--+--++-+--+-+-+++---,X,22,X,62
++++++-+++---+----+-+++----,+++-+--+--+-++--++-+-+-++--,X,18,X,24
++++++-++-++----++-+-+-----,+++-+-+-++---++---+-++-++--,X,86,X,54
++++++-++-+--+---+++---+---,+++++--++-++--+-+--+-+-+---,X,19,X,91
++++++-++-+---++-+-+---+---,++++-+-++--+++----+-++--+--,X,87,X,99
++++++-++-+---+---+-+-++---,+++++--+---++-+-++--+-++---,X,4,X,43
++++++-++--+-++-+-+---+----,+++-++---+-++----+++-+-++--,X,101,X,55
++++++-++--+-++-+----+-+---,+++-++-++----+++-+-+---++--,X,85,X,12
++++++-++--+-++---+---++---,+++-++-++-+--+-+-+-+++-----,X,67,X,36
++++++-++--+---++---+-+--+-,++++-+-+---+++-++--+-++----,X,76,X,63
++++++-++--+----++--++-+---,++++-+----++-+--+-+-+-+++--,X,97,X,32
++++++-++--+----++--+-+-+--,+++++-+---+++---++-+-+--+--,X,71,X,8
++++++-++---++----+-++---+-,+++-+-++--+-++--+++-+----+-,X,66,X,44
++++++-++---+--+---+++---+-,+++-++-+--+-+++-+-+--++----,X,93,X,33
++++++-++----++---++-+-+---,+++++-+--+--+-+-+---++-++--,X,83,X,95
++++++-++----++---++-+-+---,++++-++--+--++-+----++-+-+-,X,84,X,94
++++++-++----+--+-+-+-++---,+++-++--+++-+-++--+-++-----,X,98,X,50
++++++-++----+---++-+-+-+--,+++-+--++-++-+-++--+++-----,X,12,X,52
++++++-+-+++---+--+--++----,+++-++---+---+++-+-++-+--+-,X,96,X,11
++++++-+-++--+-+---++---+--,++++-+-+++----+-+++--+--+--,X,49,X,31
++++++-+-++--+---++---+-+--,++++--+---+-+++-++-+-++----,X,24,X,13
++++++-+-++---++-+---+---+-,++++-+---++++--++--+-+--+--,X,94,X,14
++++++-+-++---++--+---+--+-,++++-+-+---+++-++--+-++----,X,75,X,64
++++++-+-++----++--++-+----,+++-++-+-+++-+-+----++--+--,X,36,X,86
++++++-+-++-----+-+-++--+--,++++--+-+-+++--+++--+--+---,X,90,X,29
++++++-+-+-+-----++--+++---,++++--+--+++-++-+-+--+--+--,X,46,X,37
++++++-+-+--++-+---++----+-,+++++-+-+--+--++---+++--+--,X,81,X,2
++++++-+-+--+-++-+---+-+---,+++++-+----++---++--++-++--,X,23,X,39
++++++-+-+---++--+--+-++---,++++++-+---++---+-++--+-+--,X,72,X,6
++++++-+--++-+-++-----+-+--,+++-+-+++--++----+-+++--+--,X,91,X,25
++++++-+--++--+--++---++---,+++++-+-+-++-+-++--+-+-----,X,6,X,71
++++++-+--++---+--+-+-+-+--,++++++--+--++-+-++----++---,X,48,X,47
++++++-+---+-+--++--+-+-+--,+++++-++-+--+++--+---++----,X,73,X,15
++++++-+----+--++-+--+++---,++++-++-++-+-+-+---++--+---,X,20,X,92
++++++--+++---+-+--++--+---,++++-++-+-+-++--+-++-----+-,X,77,X,98
++++++--+-+++--+--+-+---+--,+++++-++-+---+-+-++---++---,X,89,X,76
++++++--+-+-+-++--+--+-+---,++++-+++--+--+---+++----++-,X,78,X,97
+++++-++++-+-----++-+--+---,+++-+-+--++-+--+++-+---++--,X,88,X,75
+++++-++-++---+---++-+-+---,++++-+-++-++--+-+++---+----,X,61,X,9
+++++-++--+-+-++---++-+----,++++-+-+---+----+++-++-++--,X,28,X,100
+++++-++---+-+--++-+----++-,++++-+--+++-+---+---+++--+-,X,27,X,38
