canonical_u,canonical_v,mine,mine_index,friend,friend_index
+++++++-+---+-+--+-+---,+++-+--+--+++---++-++--,X,3,X,14
+++++++-+----+-+--++---,+++-+--++-++--+-+-++---,X,4,X,26
+++++++--+--++---++----,+++-++-+-+-+---+-++-+--,X,0,X,16
+++++++--+--+-+-+---+--,++++--++-+-++---++-+---,X,11,X,17
+++++++--+--+-+-+---+--,++++--+-+++--+-+--++---,X,12,X,18
+++++++--+--+---++-+---,+++-+-+---+-++-+--+++--,X,8,X,13
+++++++---++-+--+--+---,++++-+-++--++--+-+-+---,X,7,X,21
++++++-++-+---++--+----,+++-+-+-++--++-+-++----,X,16,X,3
++++++-++--+-+--++-----,+++-++-+--+++---+-+-+--,X,10,X,7
++++++-++--+--+-+-+----,++++--+++---+--++-+-+--,X,13,X,22
++++++-+-++--+--+-+----,+++-++--+---++-+-+++---,X,14,X,23
++++++-+-+-++-+--+-----,+++-+--++-+---+++--++--,X,1,X,15
++++++-+-+---+-++---+--,+++-++-+--++-+----+++--,X,21,X,2
++++++-+-+----++-+---+-,+++-++-+--+++--+--++---,X,2,X,4
++++++-+--+++---+---+--,++++--+-+-++-++--+-+---,X,17,X,6
++++++-+--+-+-+--++----,+++-+++-+--++-+----++--,X,23,X,20
++++++-+--+-+--+--++---,+++-+++-+--+---+-+++---,X,19,X,25
++++++-+--+--+---+++---,++++-++--+---++-+-+-+--,X,5,X,11
++++++-+---++--+--+-+--,++++--+-+++-+-++---+---,X,22,X,8
++++++-+---++---++--+--,+++++--+-++-+-+---+-+--,X,20,X,12
++++++-+----++--+-+-+--,++++-++---++-+---+-++--,X,25,X,1
++++++-+----+---+++-+--,+++--++-++--+-++-+-+---,X,26,X,5
++++++--++-+--+-+--+---,+++-+++-+--+---+-+++---,X,18,X,24
++++++--+-+--+-++--+---,+++-++-+++-+-+---++----,X,15,X,19
++++++--+--+-+-+-+--+--,++++-++----++---+-+++--,X,24,X,27
++++++---++-+--++--+---,++++-+++-+---+-+--+-+--,X,6,X,9
+++++-+++--+--+-+-+----,+++-+++--++-+--++-+----,X,9,X,10
+++++-+-++--++--+-+----,+++++-+-++--++--+-+----,X,27,X,0
