canonical_u,canonical_v,mine,mine_index,friend,friend_index
++++++++-++--+--+-+-++----+-+-+----,++++-+-++---+++-+---+++--++--+--+--,X,236,X,520
++++++++-++--+--+-+--++---+-+-+----,++++-++----+-+-++--+--+++-+--+++---,X,44,X,168
++++++++-++--+---++-+----+++--+----,+++--++-++-++-+-++---+-+-+-+-++----,X,251,X,204
++++++++-++---++-+-+---+-++---+----,+++-++--+--+++----+++-+--+-+--++-+-,X,139,X,143
++++++++-++---++---++-+---+-+-+----,+++++-+-+---++-+--+-++---++-++--+--,X,554,X,627
++++++++-++---+-+--++-+----++-+----,+++-++-+-+-+-++----++---+++-++--+--,X,638,X,307
++++++++-++---+--++-+----++--+-+---,++++-+--+-+--+++-+-++--+---+-+++---,X,270,X,271
++++++++-++---+--+--+-+---++++-----,+++-++--+++---++-+--+-+--++--+-+-+-,X,21,X,287
++++++++-++---+---++----+++--+--+--,++++--++-+-+--++-+-+-+--+-+++-+----,X,180,X,604
++++++++-++----++-+--+---+-++---+--,++++-+--+++--+--+-+-+-+-+++--++----,X,262,X,752
++++++++-++----++-+---+--++-+----+-,+++-+-++--+-+-++---+++--+-+++--+---,X,465,X,823
++++++++-++----++--+--+--+-+-++----,++++--+++-++--+---+++-+-+--+-+-+---,X,302,X,392
++++++++-++----+-++--++----+-+-+---,++++-+-+---++-+--+--+-+++--++-++---,X,662,X,77
++++++++-++----+-+---++---++-++----,+++-++-+---+-+-+--+++--+--+-+++-+--,X,110,X,584
++++++++-++----+--++----+++--+--+--,+++-++--+-+-+++-+-+--+-+-+--+++----,X,167,X,593
++++++++-++-----+-+++-----++--+-+--,+++--+++--+--++-+-+-++-+-+--++-+---,X,127,X,667
++++++++-++------++--+-+---+++-+---,+++--+-+-+--++-++-+-++---+-++-++---,X,125,X,712
++++++++-+-++--+-+--++---+--++-----,++++--+++----+-++-+-+-+-++-++--+---,X,488,X,624
++++++++-+-++--+---+--+-+--++-+----,++++--+-+-++--++----+++-+-+++--+---,X,242,X,506
++++++++-+-++---++-++--+---+-+-----,+++-++---+++--++-+---+-++-+-++-+---,X,670,X,439
++++++++-+-++---++-+---+-++----+---,+++++--+---++-+-+--++-+-++--++-+---,X,150,X,401
++++++++-+-++---+-+-+--+--+-++-----,++++--++-++--+-+-+----++-+++--++---,X,223,X,26
++++++++-+-++---+-+-+---+--++-+----,++++-++--++----+++--+-++-+-++--+---,X,431,X,526
++++++++-+-++----+-+-+--+--++--+---,++++-+---+++---++---+-+++-++-+--+--,X,482,X,118
++++++++-+-+-++----++--+-+--++-----,++++-+--+++-++--+---+-+-++-+--++---,X,607,X,36
++++++++-+-+-+-+----+--++--++-+----,+++++--++-+--++--+++--+-+--+-++----,X,169,X,395
++++++++-+-+-+--+++--+--+--+-+-----,++++--++-+-+-++---++-+++----++--+--,X,143,X,238
++++++++-+-+-+--+++----+-++----+---,++++--+-+--++-+--+-+++-++--++--+---,X,525,X,678
++++++++-+-+-+--++-+-++-----+-+----,+++-++---++-++--++-+--+-+++--++----,X,4,X,595
++++++++-+-+-+---+--+-+--+-++---+--,++++-++----++-++--+--+++---+++---+-,X,144,X,533
++++++++-+-+--++-+-+--++----++-----,++++-+-++-+-+--++-++--+--+++---+---,X,722,X,24
++++++++-+-+--++-+-+---++-+----+---,+++-+---++-++-++-++-+---++--+++----,X,507,X,153
++++++++-+-+--++--+--+-+---+++-----,+++-++--+++----+--+-++--+++-+--+-+-,X,361,X,225
++++++++-+-+--++---+-++-+-----++---,+++-++--+---++-++-+---+-++-+-+++---,X,106,X,740
++++++++-+-+--++----+--++-+-+-+----,++++-++--++-++---+--+-++-+---+++---,X,537,X,122
++++++++-+-+--+-++--++--+----++----,++++-+-++-+---+-+-+++---+--++-++---,X,663,X,84
++++++++-+-+--+-+----++--+-++--+---,++++-+---+++-+-+++--+--+---+++--+--,X,332,X,504
++++++++-+-+--+--++-+---++----+-+--,++++-+-+-++--+-++--++---++-+++-----,X,132,X,730
++++++++-+-+--+--++--++---+---+-+--,++++-+----+++-+-++--+-+++--+-++----,X,17,X,749
++++++++-+-+--+--+-++---+-+-++-----,++++--+-+++-+-+++--+--+---++--++---,X,206,X,60
++++++++-+-+--+--+---+--++-+-++----,++++---+-+-+--+-+++-++--+++--++----,X,462,X,103
++++++++-+-+--+---+---+-++--+++----,+++-++--+-++-+--+++-+--+-+++---+---,X,315,X,515
++++++++-+-+--+----+++---+--++---+-,+++-+-++--+-+--+++-+---++-++-++----,X,219,X,816
++++++++-+-+---+++--+-+--+--+---+--,+++++---++-+++--+-+-+--++-+--++----,X,748,X,375
++++++++-+-+---++--++---+-++----+--,++++-+--++-++-++----+++---+-+-+--+-,X,384,X,607
++++++++-+-+---++---++---+-++----+-,++++--+--++-+--+-+-+--++-+++-++----,X,778,X,89
++++++++-+-+---+-++-+--+-+---++----,+++++-+---++-+--+--++---+-+++--++--,X,339,X,398
++++++++-+-+---+-++---+--+-++--+---,++++-+-+--++-----+++--++-++-+-++---,X,123,X,512
++++++++-+-+---+-+-++---+--+--++---,++++-++--+--++++---+++-+--+-+--+---,X,483,X,231
++++++++-+-+---+--++--++----+++----,++++-++-+-+-+--+++---+--++-+--+--+-,X,28,X,356
++++++++-+-+---+--++---+-++----++--,++++--+-+-++-+-+-++--+--++++--+----,X,89,X,298
++++++++-+-+----++-+----++--++--+--,++++--++-+--++---+-+-++-+-+++-+----,X,610,X,332
++++++++-+-+----+-++--+---++-+--+--,++++--+++--+++-+----++-++--+-+-+---,X,188,X,206
++++++++-+-+----+--+--++---+++-+---,++++-+---+-++-++-+-+--+--++--+++---,X,561,X,387
++++++++-+--+++-+--+-+--++---+-----,+++-++---+++---+-+++-+-+--+--++-+--,X,278,X,555
++++++++-+--+++---+++--+---+-+-----,++++-+--+-++-+-+-+--++-++--+---++--,X,48,X,302
++++++++-+--+++---+++---+--++------,++++-+-+-+-++--+--+-++-+-+--+--++--,X,13,X,85
++++++++-+--+++----++--+-+-+-+-----,+++-+---++-++-++-++-+-++---++---+--,X,536,X,37
++++++++-+--+++-----+-+-+-+--++----,++++-+--+-+--+--++--+-+++-++---++--,X,530,X,335
++++++++-+--+++------++-+--++--+---,++++-+-+-+---+-++-+-++---++--++-+--,X,277,X,779
++++++++-+--++-++---+-++-+----+----,++++-+--++-+-+++---++--++--+-+-+---,X,469,X,621
++++++++-+--++-+-+-+-++----++------,+++-++--++--+++----+-+-++-+--++-+--,X,54,X,771
++++++++-+--++-+-+----+++----+-+---,+++-++-+-++-+--++--+--++-+++---+---,X,395,X,203
++++++++-+--++-+---+-+-+--+---++---,+++-++---+++--+--+-++-+-+++-----++-,X,387,X,556
++++++++-+--++-+----++---+-++--+---,++++-+--+++-+--+-+-+-+++--++----+--,X,311,X,650
++++++++-+--++-+----+--+-++--++----,+++++--++-+-+-+--+-+-+++---+--++---,X,441,X,610
++++++++-+--++--++-+--+-+-+---+----,++++--++--+++-++-+--+-+---+-+++----,X,398,X,636
++++++++-+--++--+-+-++----+-+--+---,+++-+-++-++-----+-+++--++--+-+++---,X,616,X,27
++++++++-+--++--+-+--+--+++----+---,++++-+-+-+-+--+--++--++----++++-+--,X,220,X,660
++++++++-+--++--+--++---+-+-+-+----,++++-++-+-++--++----++++---+--+-+--,X,298,X,521
++++++++-+--++--+---++-+--+--+-+---,+++++-+-++---+-+++--++----++-+-+---,X,243,X,259
++++++++-+--++---+++-+----+--+-+---,++++-++-+---+-+-++--++-+---++-++---,X,580,X,146
++++++++-+--++---++----+-++-+---+--,++++--+--+-+-+++-+-+++--+---++-+---,X,490,X,166
++++++++-+--++---+-+--++--+-+-+----,+++++-+--++++---++---+--++-+-+--+--,X,314,X,798
++++++++-+--++---+--+-++---+++-----,++++-+-+-+-++-++---+---++--+-++--+-,X,394,X,483
++++++++-+--++----++----+-+++---+--,+++-+----++-+-++-+-+-+---++-++-++--,X,459,X,300
++++++++-+--++----+-+-+---+++---+--,+++-++-++--+++--+-+-+--+-++-++-----,X,363,X,192
++++++++-+--+-+++--++--+----++-----,+++-+-++-+-++----++-++--++-+-+-+---,X,461,X,754
++++++++-+--+-+++---+--+++-----+---,+++-+--+++--+-+---+-+-++--++-++-+--,X,272,X,393
++++++++-+--+-+++---+--+++------+--,+++---++-+--++-+-+-++-++--++-+-+---,X,226,X,606
++++++++-+--+-++--+++---+--+---+---,++++--+---+-+-++-+--+++--+-+++-+---,X,627,X,311
++++++++-+--+-+-++--++----+--++----,++++-+--+---++-++--+-+-+-+---++++--,X,433,X,432
++++++++-+--+-+-+--++--+--++----+--,++++-+--++-+-+++---++----+-+++---+-,X,308,X,554
++++++++-+--+-+-+--+--++-+---++----,+++++-++--+++--++---+-+-+--++-+----,X,527,X,724
++++++++-+--+-+-+-----+++--+--++---,+++-++----+++-+-+++--++--+-+--+--+-,X,633,X,437
++++++++-+--+-+--+++---+----++--+--,++++--+-+++--+--++--+-+-+++-+-+----,X,266,X,784
++++++++-+--+-+--++-++-----+--++---,++++--+-+-+++---+--+--+++-+-+-++---,X,389,X,541
++++++++-+--+-+---+-+-+--+--++--+--,++++-++-----+++---++-+-++--+++---+-,X,133,X,74
++++++++-+--+-+---+---+-++-++---+--,++++-+--+-+++-+-+--++--++----+++---,X,376,X,815
++++++++-+--+--++-+-+--+---++----+-,+++-+++-+---+-++-+---++-++---+++---,X,509,X,331
++++++++-+--+--++---+-++----+-+-+--,+++++-+--++--+++---++-+-+-++--+----,X,350,X,431
++++++++-+--+--++----+++--+--+-+---,+++-++-----++-+-+--+--+++--+++-+-+-,X,92,X,196
++++++++-+--+--+-+----+-+++--+---+-,+++-+-++--+++--++--+-+++----++-+---,X,159,X,415
++++++++-+--+--+---++-+-+----+++---,+++-+++-+---+++-+-++--+--+-++---+--,X,574,X,681
++++++++-+--+--+---++-+---+++---+--,+++++-+-+-++--++-+--+-+---+++--+---,X,230,X,256
++++++++-+--+---+++-----+++---+--+-,+++-+++--+-++--+-+-+-++--+-++---+--,X,543,X,828
++++++++-+--+---++-++---+-+--++----,++++-+-+-+++----++---+--++-+-++--+-,X,317,X,219
++++++++-+--+---++-+---+-+-+--++---,++++-+-+----+-++--+--++++--+--+++--,X,432,X,580
++++++++-+--+---++----+-++--+-+-+--,+++-+++---+-++--+--+-+++--+++-+----,X,20,X,510
++++++++-+--+---++-----+++-+--+-+--,+++-++-++--+-+---++-++---+++-+-+---,X,711,X,685
++++++++-+--+---+-+--++----+++--+--,+++-+-+-++-+-++---++-++--+++-----+-,X,249,X,247
++++++++-+--+---+-+---++--+--+++---,++++--++--++-+-+--+-++-+-+++-+-----,X,559,X,531
++++++++-+--+---+--++-+-+----+++---,+++-++--+--+-+--+++----+-+++-+-++--,X,783,X,390
++++++++-+--+---+--+-+-+---+++-+---,++++-+--+++-+--++-+--+++--++----+--,X,70,X,174
++++++++-+--+---+----++-++---+++---,+++-++--+--+++-+--+-+--+-+++-+-+---,X,29,X,559
++++++++-+--+----++---+-+--++-++---,+++-+++--+--++-+---+++-+-+-++-+----,X,669,X,797
++++++++-+---+++-+--+--++--+----+--,++++-+--+++----++--+-+--+++-+-+-+--,X,353,X,388
++++++++-+---+++-+----+-++----++---,+++-++-++--+--+-+--+-+++--++---+-+-,X,348,X,389
++++++++-+---+++---+-++---+--+-+---,+++++-++---+-++---+--++-+-++--+-+--,X,487,X,450
++++++++-+---+++----+-+-++---+--+--,++++-+-+---+--+++--+--+-++--+-+++--,X,790,X,355
++++++++-+---++-+++--+--+----+-+---,++++---++-+--+--++-+-++--+++-+-+---,X,109,X,739
++++++++-+---++-+--++-+---+---++---,+++-++--+++--+-+++-+--+-++-+-+-----,X,183,X,385
++++++++-+---++-+--+-++--+----++---,++++-+--+++-++--++----++-+-+-+---+-,X,631,X,318
++++++++-+---++-+----+-+++---+-+---,++++-+--++-+--+--+---++-+-+++--++--,X,481,X,620
++++++++-+---++--++--+--+-+--+-+---,++++---+-+--++-+-+++-+++--+-++-----,X,477,X,477
++++++++-+---++--+--+-+--+++----+--,+++-++----+++----+-+-+-+-++-++-++--,X,32,X,656
++++++++-+---++--+---+++---+-+--+--,+++++--+++--+-++-+-+---+-++-+---+--,X,0,X,576
++++++++-+---++--+---+++---+-+--+--,++++-++-+--+++-+-+-++---+-++--+----,X,1,X,577
++++++++-+---++--+---+-++----++-+--,++++-++-+---++-+-+-+-++--+++--+----,X,316,X,633
++++++++-+---++---++-+----+-++--+--,+++-++--+-+++---++-+-+++-+-+--+----,X,653,X,243
++++++++-+---++----++--+-+--++-+---,+++-++-+++--+-++-+----+++-+-+---+--,X,33,X,810
++++++++-+---++----+-+-+--++-++----,+++-++-+-+---+--+--+++--+-++-+++---,X,234,X,453
++++++++-+---+-++++----++----+--+--,+++-+-+-++-+-+--+--+++---++--++--+-,X,522,X,396
++++++++-+---+-++----++-+--+---++--,++++-+-+-+----+++--+--++-+++--+-+--,X,671,X,769
++++++++-+---+-+--++-+----+--+++---,+++++--++-+-+---++-+-++-+---++--+--,X,762,X,796
++++++++-+---+-+--+--++--+---+++---,++++-+---+--+-+-++-++-+-+++--++----,X,644,X,76
++++++++-+---+-+--+--++----+++--+--,+++-+++---+-++--+++-++-+--+-+-+----,X,692,X,251
++++++++-+---+-+---++--+--+--+++---,++++-++-+-+----+++--+--+++-+-+--+--,X,476,X,617
++++++++-+---+-+---+--+++----++-+--,++++-+-+---++-+-++-+----++-++--++--,X,55,X,716
++++++++-+---+-+----+--+-+++--++---,++++-+--+++-+---++-+--++-+-++--+---,X,300,X,366
++++++++-+---+--++-+-+--+----+++---,++++-++-+-+-+--++--+++----+-++--+--,X,179,X,8
++++++++-+---+---+++-+----+--+-++--,+++-+---++-+-+-++-++-+--++--+++----,X,654,X,403
++++++++-+---+---+-+--++---++++----,+++-++--+++--+-++-++-+---+--+-+-+--,X,23,X,695
++++++++-+----+++-+--++----++---+--,++++-+--+-+-+---+-+-++---++-++-++--,X,287,X,549
++++++++-+----+++-+--+--+-+----++--,+++++--+-++-+-+-+---+-++--++--++---,X,579,X,421
++++++++-+----++-++--+--++----++---,+++-++-+-++-++-+-+-+-+----+++---+--,X,323,X,824
++++++++-+----++-+-++---+---+-+-+--,++++-+--++-++----+++--+-+---++-++--,X,65,X,480
++++++++-+----++-+---+-+-++----++--,+++-++-+++--+--+-++---+-+--+++-+---,X,436,X,178
++++++++-+----++---+--++--+--++-+--,++++-+-----+++--+++--+-+-+-+-++-+--,X,120,X,457
++++++++-+----+-++---+--++-+--+-+--,+++-++---+++---+-++--++----+-+++-+-,X,117,X,743
++++++++-+----+-+-++----++--+--++--,++++---++-+++-+-+---+-+--+-++-++---,X,152,X,738
++++++++-+----+-+-+--++---+-++--+--,++++-++----++-+----+++--++-+-+-++--,X,652,X,224
++++++++-+----+---+-+---+++-++--+--,++++--++--+-++-+--+-+-++---+++-+---,X,303,X,694
++++++++--++++---+---++-+-+--+-----,+++-+-+--+-+--++-+--++-++--+++-+---,X,78,X,616
++++++++--+++-+----++-+-+--+---+---,++++--+--+--+-+++--+-+-+++-+--++---,X,498,X,485
++++++++--+++--+-+-+-+--+--+-+-----,+++-++--+-++---+++-+--+++-++--+----,X,30,X,560
++++++++--+++--+--+-+-+-+--+-+-----,++++-++-++---+-+++---+--++-+--++---,X,145,X,516
++++++++--+++--+--+-+--+-+-+-+-----,++++-++-++--+---++-+--++---+++-+---,X,213,X,268
++++++++--+++----+---+-+-+-++-+----,++++-+--++-+-++--+---+++--+--++--+-,X,446,X,811
++++++++--++-++--+-+-+--+-+---+----,++++-+----++-+-+++-+--++---++-++---,X,310,X,809
++++++++--++-++----++---+-++---+---,++++--++--+-+-+-+-++-++-+-++-+-----,X,239,X,611
++++++++--++-++----+-+--+-++---+---,+++-++--+-+++----+--+-+++-+-+-++---,X,659,X,46
++++++++--++-++----+--+--+++---+---,+++-++-++-+-+-+---+-++-+-+--+++----,X,126,X,674
++++++++--++-+-+-+---+++----+--+---,++++-+--+--++-+-++--++-+++--+-+----,X,273,X,445
++++++++--++-+-+--++--+-+--+-+-----,+++-+++-+--++--++-+-++----+++----+-,X,571,X,342
++++++++--++-+-+---++---+-++-+-----,++++-++--++-+--+-+++---+-+---++--+-,X,453,X,262
++++++++--++-+-+---+--+--+-+-++----,+++-++-+-+++---++--+--+++-+-++-----,X,455,X,236
++++++++--++-+-+-----+++-+--+--+---,++++--+-++-+++--++--+-+-++---+-+---,X,562,X,440
++++++++--++-+-+------++-+-+-++----,+++-+-++--+---++-++--+-++-+---+++--,X,297,X,394
++++++++--++-+--+-+++---+--+---+---,++++-+-+--++-+--++---+-+-++-+++----,X,158,X,309
++++++++--++-+--+---+-++---++--+---,+++++-+-+-++-+--+-+---+-+++--++----,X,614,X,786
++++++++--++-+--+---+-+-+--++---+--,++++++--+-+-+--+-+++---++--+-++----,X,434,X,44
++++++++--++-+--+----+++-+---+-+---,+++-++-+++---++-+-+--+---++-++-+---,X,193,X,697
++++++++--++-+--+-----+++--+--++---,++++-+-+---++-++---+++-+-+-+--+--+-,X,175,X,780
++++++++--++-+---++--+-+---+-+--+--,+++++--+----++-+++--+-+-+--+-+++---,X,447,X,631
++++++++--++--++-+-+-+--+--+--+----,++++--+-+++--+----+-+++-+-+--+++---,X,491,X,229
++++++++--++--++-+--+-++-----+-+---,++++-++----+-+++--++-+---++-+-+-+--,X,712,X,312
++++++++--++--++-+--+-+-+----++----,+++++--+-++--+-+---+-+-++-+++--+---,X,560,X,42
++++++++--++--++--+-+--+-+---+-+---,+++++-+-+----++++---+-++-+--+--++--,X,422,X,102
++++++++--++--+-++--+-+-----+++----,+++-++--++---++-+-++-++-+-+-+----+-,X,82,X,232
++++++++--++--+-+-++--+-+-----++---,++++-++-+--++--++-+-+-+--+-+++-----,X,785,X,778
++++++++--++--+-+-++----+-+--++----,+++-+++-+-++-+----+++-+--++-+---+--,X,224,X,522
++++++++--++--+--+-++--+----+-++---,++++-+-+-+---+++-+-++-+-++--++-----,X,512,X,455
++++++++--++--+--+-++--+----+-++---,++++-+-+---+---++++-+--++-+-+-++---,X,513,X,456
++++++++--++--+--+-++---+-+-+-+----,++++-++--++++----+--+--+++--+-+-+--,X,454,X,523
++++++++--++--+--+--+-+-+---+++----,++++-+++--+-+-++----++-+-++--+---+-,X,547,X,139
++++++++--++--+--+----++-+-+-++----,+++-++-+-+---+-++----+++-++---++-+-,X,531,X,414
++++++++--++--+---+-+--+-+--+++----,++++-+-++--+-++-++---+++-+---+---+-,X,549,X,34
++++++++--++---+++-+---++--+--+----,++++-+-+-+-++-+-++-++-+---+--++----,X,232,X,314
++++++++--++---++-++---+-+---+-+---,+++++--+-+-++-++--+-+++--+-+--+----,X,309,X,649
++++++++--++---++-+-+-+--+--++-----,++++-+--++-+---+-+-++---+--+-++++--,X,53,X,157
++++++++--++----++++--+----+-+--+--,+++-+-+-+++--+-++-+-+---+--++-++---,X,63,X,412
++++++++--++----++-+-+--+---+-+-+--,+++-++-++-++---+++--+--+-+-+++-----,X,438,X,294
++++++++--++----+-++--+--+-+-++----,+++++-++--+---+++---+-+-+--+-+-++--,X,174,X,188
++++++++--++----+-+---+--++-++-+---,++++-+--+-++----++-+-+-+++--++---+-,X,515,X,418
++++++++--++----+--+-+--+--+++-+---,++++-+-+-+-+--++----++++--++--+--+-,X,726,X,284
++++++++--++----+--+--+-+-+-+++----,++++-++---++--+--++-+---+++-+--+-+-,X,548,X,12
++++++++--++-----+++----+-+-++--+--,+++-++-+--+-++--+++--+-+-+-+----++-,X,98,X,73
++++++++--++-----++-+--+-+-+--++---,+++++-+--++-+--+++--+---+-+-++---+-,X,521,X,680
++++++++--++-----+-+--+-++--+-+-+--,++++---+--+-+++-+-++--++--+++-+----,X,292,X,383
++++++++--++-----+--+-++---++-++---,++++-+-+-+---+++-+---++-+-++--+--+-,X,170,X,717
++++++++--+-+++----++-+--+-+---+---,+++-+++-+--+---++-+-++--+---+++-+--,X,690,X,285
++++++++--+-+++----++--+--+-+--+---,++++-+-++---+-+++-+-+-++--++----+--,X,691,X,499
++++++++--+-+++-----++--+-+-+---+--,++++-+-+--+--+++--+++---+--+-++--+-,X,632,X,527
++++++++--+-++-+--+++---+---++-----,++++-+--+---+--+++-+--++-+-+-+-++--,X,252,X,714
++++++++--+-++-+----+-++--++---+---,+++-++-++--+-+++-+-+--+++----+-+---,X,68,X,407
++++++++--+-++--+-+++---+--+---+---,+++++-+---+++--++---+-++-+--+-+-+--,X,706,X,663
++++++++--+-++--+-+---++--++--+----,++++-+-++++-+----++--+-+-+--++-+---,X,803,X,286
++++++++--+-++--+---++-+--+-+-+----,+++++-++---+++--+--++---++-+---+-+-,X,648,X,128
++++++++--+-++---++--++--+---+-+---,+++++-++----++-+--+-+-+--+-+++---+-,X,426,X,299
++++++++--+-++----++----+-+++--+---,++++-++---+-+-+--++-++---+-+--++-+-,X,283,X,379
++++++++--+-++----+--+-+-+-+++-----,+++-++--+++-+--+--++---++---+-++-+-,X,415,X,507
++++++++--+-+-++-++--+-+-+---+-----,++++-+--++--+--+-+--+++---+++-++---,X,221,X,614
++++++++--+-+-++--+++-----+--+-+---,++++--++-+-+-+--++--++-++-+-++-----,X,681,X,581
++++++++--+-+-++--+-+----++--+--+--,+++++-+--+---++-+-+-+++--+---+++---,X,90,X,406
++++++++--+-+-++---++--+-+-+---+---,++++--+-+++--+-+++--+-----++-++-+--,X,88,X,788
++++++++--+-+-++----+-+-+--++--+---,++++-+--+++-----+--+++-+-++--+-++--,X,457,X,728
++++++++--+-+-+-++-+--+--+----++---,++++--+--+++-+---+++-+-+++--+---+--,X,754,X,220
++++++++--+-+-+-+---++--++---+--+--,++++++-+--++--+-++-+--+-+---+++----,X,18,X,354
++++++++--+-+-+--+-+---+++-+---+---,++++-+--++++--+-++--+----++--++--+-,X,423,X,626
++++++++--+-+-+--+-+---+-+-++--+---,++++---++-+-----++-++-++-+++--++---,X,480,X,793
++++++++--+-+-+--+--++---++-++-----,+++++-+-+-+-++---++-+--+--+---+++--,X,404,X,782
