canonical_u,canonical_v,mine,mine_index,friend,friend_index
+++++++++-+--+-+-+--++--+---++-----,++++--+--+-++-++---+++--++-+-+-+---,X,211,X,704
+++++++++-+--+--++---++---+-++-----,++++-++---++-++--+-+-+-+-+--+-++---,X,439,X,708
+++++++++-+---++---+--+-+--++-+----,++++--++--++-+---++-+--+-+++-+-+---,X,660,X,399
+++++++++-+---+-+-+--+---+++----+--,++++--+--+++--+-+-+--+++--+-++--+--,X,201,X,700
+++++++++-+---+--++----+-++-+--+---,+++-++--++-+-++--+-+-+-++---+++----,X,472,X,181
+++++++++-+---+---+++----+-++--+---,+++-+--+++--+-++-+-+---++--++-+--+-,X,49,X,671
+++++++++-+---+---++-+--+---+++----,+++-++--++-+-++-+---++-+--++-+-+---,X,203,X,227
+++++++++-+----++-++----++--+--+---,++++--++-+-+-++--+-+-++---+-+-++---,X,233,X,776
+++++++++-+----++-+--+--+--++--+---,++++-+-+-+-++----+++--+-+-++--++---,X,10,X,698
+++++++++-+----++---++--+--+-+-+---,+++++---++-+-++--+--++--+-++-+-+---,X,368,X,424
+++++++++--++---+--++----++-+-+----,+++-++-+---+-++--+-+-++-+--+++---+-,X,103,X,328
+++++++++--+-++---+-++---+-+-+-----,+++-++---++-+-+++--++-+--+-++--+---,X,401,X,202
+++++++++--+-+-+--+-++----++--+----,++++--+-+++--++--+--+-+-+-+++---+--,X,552,X,111
+++++++++--+-+---++--++----+-++----,++++--+-++-+-+-+-++--+-+++--+---+--,X,104,X,91
+++++++++--+-+---+-++--+---+++-----,+++-+-++-+-+--++-+--+---++--+++-+--,X,25,X,592
+++++++++--+-+----+-++---+-+-+-+---,++++--++--++--++-+--+--+-++-+++----,X,11,X,675
+++++++++--+--++----+--+++---+-+---,++++-+--++-+-++-+-+-+--++--++-+----,X,171,X,482
+++++++++--+--+---+-++---+-+-++----,+++-+---+++-+---+--+-++-+-++--+++--,X,254,X,315
+++++++++--+--+---+--+-+--+-+++----,+++-+-+---++--+++--++-+---+++-+--+-,X,382,X,718
+++++++++--+---+++--+--+-+---++----,++++--+-+-++-+-+-+++-+---++--+--+--,X,45,X,805
+++++++++--+---++-+-+---++--+--+---,++++-+-+-++--+-+--++-+--+---++++---,X,62,X,488
+++++++++--+---+--+++----+-+-+-+---,++++-+--+++---+--+-++--++--+-++-+--,X,61,X,641
+++++++++--+---+--+-++----+++--+---,++++-+--++-+--++---+-+-+--+++-+-+--,X,79,X,719
+++++++++--+---+---++--+--+-+++----,+++-++-+-+---+++---+-+-++-+--++-+--,X,81,X,491
+++++++++--+----++---+-+-+--+++----,+++-++---++-++-+---++-+--+--++-+-+-,X,27,X,552
+++++++++---+++---+--++--+-+-+-----,++++-+-+--+-++---++--+-+--++-++--+-,X,24,X,374
+++++++++---++-+--++--+---++--+----,+++-+-+--+++----+-+-+-++-++-++-+---,X,238,X,359
+++++++++---++-+--+-++--+---+-+----,++++--+---+-+-+-++-+--++--+++-++---,X,635,X,108
+++++++++---++-+--+-++----++---+---,+++++-+---++-+-+-+--++-+-+--++--+--,X,288,X,145
+++++++++---++--+-+--++---+-++-----,+++-++-+---++---+-++-+--+--+++-+-+-,X,84,X,266
+++++++++---++--+-+--++----+-++----,+++-++-+--+-+-+-++---+++-+---+--++-,X,85,X,794
+++++++++---++--+-----++-+-+-++----,+++-+-+-++--++---++-++-+---++-+--+-,X,83,X,304
+++++++++---++----+-++----++-+-+---,+++-++--++-+-++---+-++-+-++--+---+-,X,102,X,561
+++++++++---+-++-+-+-+--+--+--+----,+++-++---++---++--+-+++---+-+++-+--,X,154,X,684
+++++++++---+-++--+-+--++---++-----,++++-+---++-+---+--++-+-+-++-+-++--,X,100,X,147
+++++++++---+-++--+-+--+-+-+---+---,++++-++--++-+-++----++-++---+-++---,X,296,X,115
+++++++++---+-+-++--++--+---+-+----,++++-+--+++-+--++-+--+---+++--+-+--,X,306,X,804
+++++++++---+-+-++--+--++---+-+----,++++-++---++-+--+--++-+---+++--+-+-,X,58,X,628
+++++++++---+-+-++---+--++---+-+---,++++--++-+-+----+-++-++-+--++-++---,X,400,X,263
+++++++++---+-+-+--+++----+--+-+---,++++-+-+--++-+++--+--++-+--+--++---,X,214,X,252
+++++++++---+-+-+--+--++---+-++----,++++-+-+--++--++-+-++-----++-+-++--,X,51,X,737
+++++++++---+-+--++---++--+-+-+----,++++-+-+--+--++---+-++--+--++++--+-,X,661,X,339
+++++++++---+-+---+-+--+-+-++--+---,++++-++--+--+-++---+-++---++-+++---,X,131,X,478
+++++++++---+--+++--+-+--+--+--+---,++++--+-+++-++---+-+-+-+--+--+++---,X,471,X,540
+++++++++---+---+--+-+-+---++++----,+++-++-++--++-+--+-+-++--+-+--++---,X,19,X,747
++++++++-++-+--+--+---+-+-+-++-----,++++-+---++-++--++---+++---++-+-+--,X,121,X,349
++++++++-++-+---++-+---++--+-+-----,+++-++--+++---++-++-+---+-+-++-+---,X,299,X,689
++++++++-++--++---+----+++--+-+----,++++-+--+-++--+-+-+-+-++--++-++----,X,69,X,792
++++++++-++--+-+-+---++---+++------,+++-+-++--++-++----+-++--+-+-++-+--,X,34,X,255
++++++++-++--+-+--+-+---++-+-+-----,+++++--+--++-+---++--+-+-++--+++---,X,267,X,672
++++++++-++--+-+--+----++-+-+-+----,+++-+-+---++-++-++--+++----+++--+--,X,281,X,585
++++++++-++--+-+---++---+-++-+-----,++++-+---++-++---+-+-+--++-+--+++--,X,160,X,537
++++++++-++--+--+++--+-+---+-+-----,++++--+-++--++--+++--+-+-+-++-+----,X,634,X,411
++++++++-++--+--+++----+-+-+--+----,++++--++--++-+--+-+-+++-+-+--++----,X,334,X,640
++++++++-++--+--++-+----+++---+----,++++-+-+-++---+--++-+-+--++-+-++---,X,225,X,550
